0,1,2,3,4,5,6,7,8
i,Cash,"5,00,000  5 Lacs+","5,00,000  5 Lacs+",Nil,"1,00,000  1 Lacs+","50,000  50 Thou+","50,000  50 Thou+","Rs 12,00,000
12 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank of Maharashra
5,298  5 Thou+

Janta Sahkari Bank
1,604  1 Thou+","IDBI Bank
23,671  23 Thou+

Janta Sahkari Bank
15,520  15 Thou+",Nil,Nil,Nil,Nil,"Rs 46,093
46 Thou+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"12 Tola Gold
4,60,800  4 Lacs+","50 Tola Gold
19,20,000  19 Lacs+",Nil,"5 Tola Gold
1,92,000  1 Lacs+","5 Tola Gold
1,92,000  1 Lacs+","3 Tola Gold
1,15,200  1 Lacs+","Rs 28,80,000
28 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"9,67,702  9 Lacs+","24,59,281  24 Lacs+",Nil,"2,92,000  2 Lacs+","2,42,000  2 Lacs+","1,65,200  1 Lacs+","Rs 41,26,183
41 Lacs+",
Totals (Calculated as Sum of Values),"Rs 9,67,702
9 Lacs+","Rs 24,59,191
24 Lacs+",Nil,"Rs 2,92,000
2 Lacs+","Rs 2,42,000
2 Lacs+","Rs 1,65,200
1 Lacs+","Rs 41,26,093
41 Lacs+",
