0,1,2,3,4,5,6,7,8
i,Cash,"7,22,324  7 Lacs+","2,52,810  2 Lacs+","2,33,054  2 Lacs+",Nil,Nil,Nil,"Rs 12,08,188
12 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Union bank of india sant kripa market nanded
1,17,233  1 Lacs+

state bank of india hughes road
23,776  23 Thou+

state bank of india apmc new mondha nanded
7,21,574  7 Lacs+

state bank of india
6,59,025  6 Lacs+

state bank of india vidhan bhavan
6,59,025  6 Lacs+

state bank of india sansad bhavan
6,09,494  6 Lacs+

state bank of india nepean sea road
24,27,474  24 Lacs+

state bank of india APMC Nanded
11,58,569  11 Lacs+

abhyudaya co op bank ltd. ashoknagar nanded
554  5 Hund+

union bank of india sant kripa
42,362  42 Thou+

union bank of india sant kripa
27,81,971  27 Lacs+

FDR state bank of india date:22/082018 Rs.4574635 and accured interest 328175
49,02,810  49 Lacs+

Fdr The bhagyalaxmi mahila sahkari bank ltd. mahavir chwok naded fdr 500000 and accured interest 326047
8,26,047  8 Lacs+","bombay mercantile co op bank ltd nanded
5,19,851  5 Lacs+

bank of baroda walkeshawar
19,02,665  19 Lacs+

central bank of india market yard
1,22,789  1 Lacs+

union bank of india
2,36,801  2 Lacs+

state bank of india shivaji nagar
4,00,113  4 Lacs+

state bank of india
2,91,127  2 Lacs+

state bank of india vidhan bhavan
12,83,132  12 Lacs+

bombay mercantile co op bank ltd
1,16,369  1 Lacs+

abhyudaya co op bank ltd ashoknagar
554  5 Hund+

union bank of india sant kripa market
76,757  76 Thou+

union bank of india election a/c
29,990  29 Thou+","bombay mercantile co op bank nanded
34,596  34 Thou+

state bank of india samarth nagar
18,84,295  18 Lacs+

state bank of india nepean
59,314  59 Thou+

the aurangabad district central co op bank
10,60,960  10 Lacs+

the aurangabad dit.co op bank adalat road
79,540  79 Thou+

state bank of india
20,070  20 Thou+

development credit bank ltd.kalalane FDR
37,13,685  37 Lacs+

FDR State bank of india accured interest
80,124  80 Thou+

state bank of india FDR samarth nagar
7,88,133  7 Lacs+

state bank of india samrth nagar FDR
11,41,764  11 Lacs+

state bank of india samrth nagar accured interest
1,73,024  1 Lacs+

state bank of india samarth nagar
90,00,000  90 Lacs+

state bank of india samarth nagar aurangabad
90,00,000  90 Lacs+

state bank of india samarth nagar aurangabad
50,00,000  50 Lacs+

State bank of india
5,74,336  5 Lacs+

state bank of india accured interest
65,400  65 Thou+

State bank of india
12,06,023  12 Lacs+

state bank of interest accured interest
93,384  93 Thou+

State bank of indiua fdr
12,06,023  12 Lacs+

accured interest
93,384  93 Thou+",Nil,Nil,Nil,"Rs 5,51,84,117
5 Crore+"
iii,"Bonds, Debentures and Shares in companies","Bhaurao chavan shakari sakhar shares
10,000  10 Thou+

Bombay mercantile co bank shares
1,260  1 Thou+

Kalambar shares
1,000  1 Thou+

Seva sahkari society
600  6 Hund+

Shankar sahkari sakhar karkhana
5,000  5 Thou+

Andheri garden view co op housing society
250  2 Hund+

Shares Of DCB Bank
2,051  2 Thou+

Shudbhada Co Op Hsg Society Ltd
250  2 Hund+

The Navjivan Commercial Premises Co Op Society Ltd
125  1 Hund+

The House Blsg Co Op Siociety Shivaji Nagar
1,100  1 Thou+

Navsansad Vihar Group Hsg Socety Ltd
100  1 Hund+

Dr Shankarrao Chavan Co Op Biosugar & Products Ltd
20,000  20 Thou+

Buldhana Urban Coop Credit Society Ltd
500  5 Hund+

Abhudaya Coop Bank Ltd
1,000  1 Thou+","Bhaurao Chavan Sugar Factory
10,000  10 Thou+

Bombay Mercantile Co Op Bank Ltd
22,440  22 Thou+

Harita Finance Ltd
12,000  12 Thou+

Shares Of Seva Sahakari Society
600  6 Hund+

Ujwal Metals Pvt Ltd
49,000  49 Thou+

Shares Of Jai Corps Ltd
17,900  17 Thou+

Andheri Garden View Co Op Hsg Society Ltd
250  2 Hund+

The Navjian Commercial Premises CO Op Society Ltd
125  1 Hund+

The House Bldg Co Op Society Shivaji Nagar
1,100  1 Thou+

Kapol Co Op Bank Mumbai
100  1 Hund+

Dr Shankarrao Chavan Co Op Biosugar
20,000  20 Thou+

Buldhana Urban Coop Credit Society Ltd
500  5 Hund+

Abhudaya Coop Bank Ltd
1,000  1 Thou+","UTI Bonds
25,37,133  25 Lacs+",Nil,Nil,Nil,"Rs 27,15,384
27 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC 893925596
0*(Value Not Given)  

LIC 893928777
0*(Value Not Given)  

LIC 987514722
8,91,816  8 Lacs+","LIC 893925593
0*(Value Not Given)  

LIC 893928778
0*(Value Not Given)  

LIC 987514723
8,38,280  8 Lacs+",Nil,Nil,Nil,Nil,"Rs 17,30,096
17 Lacs+",
v,Personal loans/advance given,"Sujaya Chavan
21,16,263  21 Lacs+

Vignahar CHS Ktd
1,00,000  1 Lacs+

Godavari Hotel Complex
96,000  96 Thou+

Mrs Ameeta Ashok Chavan
18,23,610  18 Lacs+

Mrs Ameeta Chavan
6,88,316  6 Lacs+

Dr Shankarrao Chavan Co Op Biosugar
5,000  5 Thou+

Nanded Waghala City Municipal Corp
40,000  40 Thou+

Nanded Waghala City Municipal Corp
13,662  13 Thou+

Four Season
1,34,054  1 Lacs+

Bharat Petroleum Corp Ltd
45,000  45 Thou+

Bharat Petroleum Corp Ltd
2,30,861  2 Lacs+","Sreejana Chavan
39,21,635  39 Lacs+

Dr Shankarrao Chavan Co Op Biosugar
5,000  5 Thou+

Nanded Waghala City Municipal Corp
6,338  6 Thou+

Ujwal Enterprises (I) Pvt Ltd
15,52,713  15 Lacs+","Sujaya Chavan
76,67,461  76 Lacs+

Mrs Ameeta Ashok Chavan
1,11,23,442  1 Crore+

Sreejaya Chavan
4,54,903  4 Lacs+

Ashok Chavan
1,93,19,012  1 Crore+",Nil,Nil,Nil,"Rs 4,93,43,270
4 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Mahindra & Mahindra MH26AD7209
2,89,684  2 Lacs+

Mahindra & Mahindra Ltd MH26AD9117
3,23,541  3 Lacs+

Mahindra & Mahindra Ltd MH26AD8568
2,49,449  2 Lacs+

Mahindra & Mahindra Ltd MH26B7756
11,732  11 Thou+","Bajaj Tempo Tractor MH26E3555
73,000  73 Thou+

KK Engg Co Ltd Trolly MH26E4302
35,000  35 Thou+

Toyota Kirloskar Ltd Fortuner 3. OL MH12KH0900
11,47,500  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 21,29,906
21 Lacs+"
vii,Jewellery (give details weight value),"Gold & Jewellery 632.44 Grams
23,33,704  23 Lacs+

Diamond 52.84
34,34,600  34 Lacs+","Gold & Jewellery 1995.444 Grams
73,63,188  73 Lacs+

Diamond 140.95
91,61,750  91 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,22,93,242
2 Crore+"
viii,"Other assets, such as values of claims / interests","Computers & Equipment & Tools
2,43,295  2 Lacs+

Stock In Hand
8,16,815  8 Lacs+","Globe Tours And Travels Advertisers
15,53,150  15 Lacs+","Agri Equipment
9,48,068  9 Lacs+",Nil,Nil,Nil,"Rs 35,61,328
35 Lacs+"
Gross Total Value (as per Affidavit),"2,89,23,857.66  2 Crore+","3,18,27,092.11  3 Crore+","7,84,36,774.77  7 Crore+",Nil,Nil,Nil,"Rs 13,91,87,724.54
13 Crore+",
Totals (Calculated as Sum of Values),"Rs 2,95,82,876
2 Crore+","Rs 3,10,25,527
3 Crore+","Rs 7,75,57,128
7 Crore+",Nil,Nil,Nil,"Rs 13,81,65,531
13 Crore+",
