0,1,2,3,4,5,6,7,8
i,Cash,"3,60,000  3 Lacs+","40,000  40 Thou+",Nil,Nil,Nil,Nil,"Rs 4,00,000
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","AGM CO.OP. BANK
79,894  79 Thou+

SBI
1,46,994  1 Lacs+

BANK OF MAHARASTRA
18,387  18 Thou+

SBI
11,59,736  11 Lacs+

central bank of india
3,925  3 Thou+","SBI
2,44,338  2 Lacs+

AGM CO.OP BANK
59,793  59 Thou+",Nil,Nil,Nil,Nil,"Rs 17,13,067
17 Lacs+"
iii,"Bonds, Debentures and Shares in companies","SANT EKNATH SAH. SAKHAR KARKHANA PAITHAN
10,600  10 Thou+

SHARAD SAH. SAKHAR KARKHANA
10,100  10 Thou+

SHIVAJI NAGRI SAH.BANK PAITHAN
5,000  5 Thou+

PURCHECE SALER
100  1 Hund+","PURCHECE SALER PAITHAN
100  1 Hund+",Nil,Nil,Nil,Nil,"Rs 25,900
25 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC POLICY
4,48,270  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,48,270
4 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","toyota fortuner,mh-20-dj0555
28,00,000  28 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 28,00,000
28 Lacs+"
vii,Jewellery (give details weight value),"6tola gold
2,28,000  2 Lacs+","10 tola gold
3,80,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,08,000
6 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"52,71,006  52 Lacs+","7,24,231  7 Lacs+",Nil,Nil,Nil,Nil,"Rs 59,95,237
59 Lacs+",
Totals (Calculated as Sum of Values),"Rs 52,71,006
52 Lacs+","Rs 7,24,231
7 Lacs+",Nil,Nil,Nil,Nil,"Rs 59,95,237
59 Lacs+",
