0,1,2,3,4,5,6,7,8
i,Cash,"2,01,640  2 Lacs+","2,22,611  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,24,251
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Terna Bank Osmanabad
1,196  1 Thou+

SBI Court Branch Osmanabad
792  7 Hund+

Yashvant Nagari Bank Osmanabad
96  

Pragati Bank Osmanabad
759  7 Hund+

Syndicate Bank Osmanabad
818  8 Hund+

UCO Bank Osmanabad
16,417  16 Thou+

IDBI Bank Osmanabad
1,00,714  1 Lacs+

Bhaurao Patil Bank Osmanabad
2,937  2 Thou+

Dr Padamsinghji Patil Bank Osmanabad
200  2 Hund+

Allahabad Bank Osmanabad
1,000  1 Thou+","Terna Bank Osmanabad
318  3 Hund+

SBI Osmanabad
0*(Value Not Given)",Nil,Nil,Nil,Nil,"Rs 1,25,247
1 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Vividh Karyakari Society Sarola
4,450  4 Thou+

Vividh Karyakari Society Devdhanora
4,900  4 Thou+

Yashvant Nagari Bank
26,000  26 Thou+

Pragati Bank Osmanabad
2,000  2 Thou+

Dr Padansinghji Patil Bank
500  5 Hund+

Bhaurao Patil Bank
100  1 Hund+

Terna Nagari Bank Osmanabad
1,000  1 Thou+

Terna Sahakari Bank Osmanabad
10,000  10 Thou+

Dharashib Sugar Factory Chorakhali
10,000  10 Thou+

VRD Agro Sarola
80,000  80 Thou+","Vividh Karyakari Society Sarola
10,000  10 Thou+

VRD Agro Sarola
100  1 Hund+",Nil,Nil,Nil,Nil,"Rs 1,49,050
1 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Maruti Alto MH25R0617
2,92,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,92,000
2 Lacs+"
vii,Jewellery (give details weight value),"50 Gram Gold
2,10,000  2 Lacs+","180 Gram Gold
7,20,000  7 Lacs+",Nil,Nil,Nil,Nil,"Rs 9,30,000
9 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"9,67,520.41  9 Lacs+","9,53,029  9 Lacs+",Nil,Nil,Nil,Nil,"Rs 19,20,549.41
19 Lacs+",
Totals (Calculated as Sum of Values),"Rs 9,67,519
9 Lacs+","Rs 9,53,029
9 Lacs+",Nil,Nil,Nil,Nil,"Rs 19,20,548
19 Lacs+",
