0,1,2,3,4,5,6,7,8
i,Cash,"1,65,996  1 Lacs+","5,03,951.98  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,69,947.98
6 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of India, mumbai
66,94,318.21  66 Lacs+

Canara Bank, Yavatmaal
5,020.86  5 Thou+

Bank of India(Pention) Yavatmaal
3,238  3 Thou+

Bank of India (Saving), yavatmaal
62,11,416.69  62 Lacs+

Pusad Arban Co-Op Bank, yavatmaal
5,629  5 Thou+

Yavatmaal Arban Co-Op Bank, yavatmaal
15,679  15 Thou+

Jilha Madhyavarti Co-Op Bank, yavatmaal
10,076.91  10 Thou+

The Yavatmaal Mahila Sh. Bank Ltd., Yavatmaal
28,908.40  28 Thou+","The Yavatmaal Mahila S. bank Ltd., Yavatmaal
4,620.84  4 Thou+

Bank of India, Yavatmaal
38,567.07  38 Thou+",Nil,Nil,Nil,Nil,"Rs 1,30,17,474.98
1 Crore+"
iii,"Bonds, Debentures and Shares in companies","Chintamani agro.
2,16,000  2 Lacs+

Yavatmaal Arban Co-Op. Bank
1,500  1 Thou+

J.M.Bank Shares
500  5 Hund+","Hotel Maai
20,000  20 Thou+

The Mahila S. Bank
5,000  5 Thou+

Y. Arban Co. Bank
1,500  1 Thou+",Nil,Nil,Nil,Nil,"Rs 2,44,500
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc","Bima Mahamandal of India
10,50,000  10 Lacs+

Provident Fund
30,81,102.35  30 Lacs+","Bima Mahamandal of India
9,00,000  9 Lacs+

Provident Fund
16,16,180  16 Lacs+",Nil,"Bima Mahamandal of India
25,00,000  25 Lacs+",Nil,Nil,"Rs 91,47,282.35
91 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"Shyam construction
2,84,935.35  2 Lacs+

Hotel Maai
20,000  20 Thou+

Skyline Estate Developers Pusad
5,66,152  5 Lacs+

Rajeshwar Builders
64,804  64 Thou+

Rajeshwar Builders
8,95,553.24  8 Lacs+

Rajeshwar Builders & Developers
20,29,298.13  20 Lacs+

Ram Builders Nagpur
54,97,531.07  54 Lacs+

Shreeji Construction & Developers
72,251  72 Thou+","Shreeji Construction & Developers
72,251  72 Thou+

Jalram Farma Nagpur
23,75,208.49  23 Lacs+

Surendra M.Yerawar
11,70,268  11 Lacs+

HDFC Pension
2,40,680  2 Lacs+

Y. Mahila S. Bank
1,951.84  1 Thou+",Nil,Nil,Nil,Nil,"Rs 1,32,90,884.12
1 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Car Mercedies Dt. 06/06/2019
66,80,497  66 Lacs+

Car Captivha Dt. 25/05/2011
23,13,738  23 Lacs+

Scooter Asses Dt. 23/06/2010
53,453  53 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 90,47,688
90 Lacs+"
vii,Jewellery (give details weight value),"Gold 110 Tola Silver 3 Kg
11,80,000  11 Lacs+","Gold
30,00,000  30 Lacs+

Silver
1,50,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 43,30,000
43 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"3,71,47,598.30  3 Crore+","1,01,00,135.22  1 Crore+",Nil,"25,00,000  25 Lacs+",Nil,Nil,"Rs 4,97,47,733.52
4 Crore+",
Totals (Calculated as Sum of Values),"Rs 3,71,47,598.21
3 Crore+","Rs 1,01,00,179.22
1 Crore+",Nil,"Rs 25,00,000
25 Lacs+",Nil,Nil,"Rs 4,97,47,777.43
4 Crore+",
