0,1,2,3,4,5,6,7,8
i,Cash,"1,00,000  1 Lacs+","30,000  30 Thou+",Nil,Nil,Nil,Nil,"Rs 1,30,000
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","4,50,000  4 Lacs+","2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,50,000
6 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc","7,50,000  7 Lacs+","3,50,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,00,000
11 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Jeep MH27H9496, Year 2006
2,00,000  2 Lacs+

Mahindra Scorpio MH27H9500, Year 2005
2,50,000  2 Lacs+

TATA HEXA MH27BV5858, YEAR 2017
9,00,000  9 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 13,50,000
13 Lacs+"
vii,Jewellery (give details weight value),"Gold Ring 4 Gram
13,500  13 Thou+","Mangalsutra 20 Gram, Bangles 20 Gram, Silver anklet 200 Gram
1,70,200  1 Lacs+",Nil,Nil,"Gold Earrings 5 Gram
16,000  16 Thou+

Gold Chain 5 Gram
16,000  16 Thou+",Nil,"Rs 2,15,700
2 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"26,63,500  26 Lacs+","7,50,200  7 Lacs+",Nil,Nil,"32,000  32 Thou+",Nil,"Rs 34,45,700
34 Lacs+",
Totals (Calculated as Sum of Values),"Rs 26,63,500
26 Lacs+","Rs 7,50,200
7 Lacs+",Nil,Nil,"Rs 32,000
32 Thou+",Nil,"Rs 34,45,700
34 Lacs+",
