0,1,2,3,4,5,6,7,8
i,Cash,"19,075  19 Thou+","17,278  17 Thou+",Nil,Nil,Nil,Nil,"Rs 36,353
36 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","KDC Bank
12,07,497  12 Lacs+

BOI
2,45,794  2 Lacs+

IDBI Bank
1,660  1 Thou+

Chandeshwari Bank
361  3 Hund+

SBI
2,02,653  2 Lacs+","KDC Bank
8,14,853  8 Lacs+

BOI
36,162  36 Thou+

HDFC Bank
5,01,648  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 30,10,628
30 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Mahatma Phule
50,000  50 Thou+

IChalkaranji Indo Co
4,001  4 Thou+

Rajaram Sugar Factory
5,455  5 Thou+

Ambai Magasvgriya Shetimal
50,000  50 Thou+

Ramamata Sahkari Sutgirni
2,000  2 Thou+","Mahatma Phule
50,000  50 Thou+

Ambai Magasvgriya Shetimal
50,000  50 Thou+

Ramamata Sahkari Sutgirni
2,000  2 Thou+",Nil,Nil,Nil,Nil,"Rs 2,13,456
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
1,79,219  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,79,219
1 Lacs+",
v,Personal loans/advance given,"Jayvantrao Avle
35,27,223  35 Lacs+

Sanjay Avle
35,72,000  35 Lacs+

Ramchandra Lokhande
1,00,000  1 Lacs+

Archana Bhutada
5,00,000  5 Lacs+

KD Kamble
14,000  14 Thou+

RA Textile
57,03,131  57 Lacs+

Aradhana Louge
60,000  60 Thou+

Prarthana Hotel
5,60,000  5 Lacs+

Priyanka Textiles
1,75,000  1 Lacs+

JD Textiles
5,00,000  5 Lacs+

BMB Fabrics
5,00,000  5 Lacs+","Jayvantrao Avle
10,36,454  10 Lacs+

Sanjay Avle
23,45,000  23 Lacs+

Raju Avle
18,60,000  18 Lacs+

Ujwala Avle
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,08,52,808
2 Crore+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"12 Tola
4,56,000  4 Lacs+","44 Tola
15,96,000  15 Lacs+",Nil,Nil,Nil,Nil,"Rs 20,52,000
20 Lacs+"
viii,"Other assets, such as values of claims / interests","Revolver 32
58,233  58 Thou+

Bhide Lums
25,000  25 Thou+

AC
51,254  51 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 1,34,487
1 Lacs+"
Gross Total Value (as per Affidavit),"1,77,69,559  1 Crore+","86,92,117  86 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,64,61,676
2 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,77,69,556
1 Crore+","Rs 87,09,395
87 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,64,78,951
2 Crore+",
