0,1,2,3,4,5,6,7,8
i,Cash,"10,270  10 Thou+","6,150  6 Thou+",Nil,Nil,Nil,Nil,"Rs 16,420
16 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank of india
46,990  46 Thou+

Solapur Janta Co-Op Bank Ltd
500  5 Hund+","SBI Bank
7,182  7 Thou+

Bank of baroda
10,761  10 Thou+

Bank of India
3,309  3 Thou+",Nil,Nil,Nil,Nil,"Rs 68,742
68 Thou+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,"LIC
67,200  67 Thou+",Nil,Nil,Nil,Nil,"Rs 67,200
67 Thou+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Bullet (Royal Infild)
1,05,000  1 Lacs+

Honda Shain
70,000  70 Thou+

Honda Duait
65,000  65 Thou+","Honda Duait
65,000  65 Thou+

Scouty Pep
60,000  60 Thou+",Nil,Nil,Nil,Nil,"Rs 3,65,000
3 Lacs+"
vii,Jewellery (give details weight value),"Gold 60.00 gram
2,28,000  2 Lacs+","Gold-70.00 Gram
2,66,000  2 Lacs+

Silver -500 gram
23,500  23 Thou+",Nil,Nil,Nil,Nil,"Rs 5,17,500
5 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"5,25,760  5 Lacs+","5,09,109  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,34,869
10 Lacs+",
Totals (Calculated as Sum of Values),"Rs 5,25,760
5 Lacs+","Rs 5,09,102
5 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,34,862
10 Lacs+",
