0,1,2,3,4,5,6,7,8
i,Cash,"4,01,350  4 Lacs+","27,550  27 Thou+",Nil,"3,070  3 Thou+",Nil,Nil,"Rs 4,31,970
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","ICICI Bank
6,33,222  6 Lacs+

Kurla Nagrik Sahkari Bank
350.27  3 Hund+

Kurla Nagrik Sahkari Bank
873.18  8 Hund+

Mumbai Jilha Madhya Sahkari Bank
97,869  97 Thou+

Mumbai Jilha Madhya Sahkari Bank
55,640.91  55 Thou+

Axis Bank
9,57,368.50  9 Lacs+

SBI Bank
12,62,619.42  12 Lacs+

Kotak Bank
5,76,491.72  5 Lacs+

Corporation Bank
21,000  21 Thou+

Satara Bank
893  8 Hund+

Deccan Merchant Bank
8,079  8 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 36,14,407
36 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Deccan Bank
1,17,500  1 Lacs+

KSN Bank
16,500  16 Thou+

Satara Bank
1,53,000  1 Lacs+

Maitry Wastu Developers
2,50,000  2 Lacs+

VRS Transport C & F Service
5,62,390  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 10,99,390
10 Lacs+"
iv,"(a)
NSS, Postal Savings etc","Ayuvirma Company Yearly Invest
1,55,250  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,55,250
1 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"1,07,19,000  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,07,19,000
1 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Winger Mini Bus MH 04 FG 9099 Year 2011
7,29,000  7 Lacs+

Mercdiz Benz MH 43 BD 9099 Year 2019
93,95,601  93 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,01,24,601
1 Crore+"
vii,Jewellery (give details weight value),"25 Tola Gold
9,00,000  9 Lacs+","20 Tola Gold
7,20,000  7 Lacs+",Nil,"3 Tola Gold
1,08,000  1 Lacs+",Nil,Nil,"Rs 17,28,000
17 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"2,66,12,648  2 Crore+","7,47,550  7 Lacs+",Nil,"1,11,070  1 Lacs+",Nil,Nil,"Rs 2,74,71,268
2 Crore+",
Totals (Calculated as Sum of Values),"Rs 2,70,13,998
2 Crore+","Rs 7,47,550
7 Lacs+",Nil,"Rs 1,11,070
1 Lacs+",Nil,Nil,"Rs 2,78,72,618
2 Crore+",
