0,1,2,3,4,5,6,7,8
i,Cash,"92,550  92 Thou+","48,300  48 Thou+",Nil,Nil,Nil,Nil,"Rs 1,40,850
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","H.D.F.C.Ban F.D.R.
3,35,716.40  3 Lacs+

State Bank Of india Pen saving Account
70,575  70 Thou+

Patneshwar Arban Bank Pen-Saving Account
854  8 Hund+

H.D.F.C.Bank Pen Saving Account
7,000  7 Thou+

Bank of Baroda Pune
1,64,527  1 Lacs+","State Bank Of India Pen F.D.R.
11,00,000  11 Lacs+

Patneshwar Arban Bank F.D.R.
38,78,350  38 Lacs+

State Bank Of india Pen Saving Account
30,919  30 Thou+

Post Account Pen
670  6 Hund+

Patneshwar Arban Bank Saving Account
962  9 Hund+",Nil,Nil,Nil,Nil,"Rs 55,89,573.40
55 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Patneshwar Arban Bank-Pen -Shares
10,000  10 Thou+","Patneswhar Arban Bank- Pen Shares
38,000  38 Thou+",Nil,Nil,Nil,Nil,"Rs 48,000
48 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,"Post Account-Pen
11,50,000  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,50,000
11 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","M H 06 BU 456 Enova Crista Year-2018
23,00,000  23 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 23,00,000
23 Lacs+"
vii,Jewellery (give details weight value),"25 Tola Gold
7,50,000  7 Lacs+","65 Tola Gold
18,60,000  18 Lacs+",Nil,Nil,Nil,Nil,"Rs 26,10,000
26 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"36,38,672  36 Lacs+","80,58,901  80 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,16,97,573
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 37,31,222.40
37 Lacs+","Rs 81,07,201
81 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,18,38,423.40
1 Crore+",
