0,1,2,3,4,5,6,7,8
i,Cash,"3,76,500  3 Lacs+","20,000  20 Thou+","38,000  38 Thou+",Nil,Nil,Nil,"Rs 4,34,500
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","2,75,31,034  2 Crore+","4,28,01,462  4 Crore+","42,47,457  42 Lacs+","11,306  11 Thou+","11,371  11 Thou+",Nil,"Rs 7,46,02,630
7 Crore+"
iii,"Bonds, Debentures and Shares in companies","9,65,11,071  9 Crore+","93,69,937  93 Lacs+","26,20,250  26 Lacs+",Nil,Nil,Nil,"Rs 10,85,01,258
10 Crore+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","57,07,029  57 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 57,07,029
57 Lacs+",
v,Personal loans/advance given,"4,80,46,369  4 Crore+","91,34,153  91 Lacs+","1,04,310  1 Lacs+",Nil,Nil,Nil,"Rs 5,72,84,832
5 Crore+"
vi,"Motor Vehicles (details of make, etc.)","11,92,319  11 Lacs+","2,94,250  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 14,86,569
14 Lacs+"
vii,Jewellery (give details weight value),"343.40 Gram Gold
11,21,732  11 Lacs+

968.76 Gram Silver
47,007  47 Thou+

Diamond 41.14 Carat
1,68,000  1 Lacs+

Other Semi Precious Stones, Kundan Jewellery
4,52,420  4 Lacs+","2792.68 Gram Gold
67,47,848  67 Lacs+

Silver 6038.90 Grams
3,53,762  3 Lacs+

Diamond 63.28 Carat
28,94,457  28 Lacs+

Other Semi Precious Stones, Kundan Jewellery
5,05,482  5 Lacs+",Nil,"13.06 Gram Gold
40,223  40 Thou+

Diamond 0.08Carat
4,400  4 Thou+","3.94 Grams Gold
11,475  11 Thou+

0.18 Carat Diamond
9,900  9 Thou+",Nil,"Rs 1,23,56,706
1 Crore+"
viii,"Other assets, such as values of claims / interests","Rolex Watch
28,91,928  28 Lacs+","Rolex Watch
6,97,000  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 35,88,928
35 Lacs+"
Gross Total Value (as per Affidavit),"18,40,45,409  18 Crore+","7,28,18,351  7 Crore+","70,10,017  70 Lacs+","55,929  55 Thou+","32,746  32 Thou+",Nil,"Rs 26,39,62,452
26 Crore+",
Totals (Calculated as Sum of Values),"Rs 18,40,45,409
18 Crore+","Rs 7,28,18,351
7 Crore+","Rs 70,10,017
70 Lacs+","Rs 55,929
55 Thou+","Rs 32,746
32 Thou+",Nil,"Rs 26,39,62,452
26 Crore+",
