0,1,2,3,4,5,6,7,8
i,Cash,"23,318  23 Thou+","11,236  11 Thou+",Nil,Nil,Nil,Nil,"Rs 34,554
34 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
38,955  38 Thou+

BOM
12,961  12 Thou+

Vijaya Bank
12,431  12 Thou+

Dombivali Nagari Bank
4,228  4 Thou+

The Thane District Sahakari Bank
40,580  40 Thou+

Thane Janata Sahakari Bank
1,450  1 Thou+

BOM
12,960  12 Thou+

SBI
849  8 Hund+","SBI
5,280  5 Thou+

The Thane District Sahakari Bank
69,210  69 Thou+

The Thane District Sahakari Bank
227  2 Hund+

BOM
1,761  1 Thou+

Dombivali Nagari Bank
11,406  11 Thou+

Vijaya Bank
14,003  14 Thou+",Nil,Nil,Nil,Nil,"Rs 2,26,301
2 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,"LIC
1,25,000  1 Lacs+

LIC
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,25,000
6 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","2 Wheeler Hero Honda
65,000  65 Thou+

4 Wheeler Mahindra Pickup
6,85,498  6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 7,50,498
7 Lacs+"
vii,Jewellery (give details weight value),"20 Gram Gold
72,000  72 Thou+","30 Gram Gold
1,08,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,80,000
1 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"9,70,230  9 Lacs+","8,46,123  8 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,16,353
18 Lacs+",
Totals (Calculated as Sum of Values),"Rs 9,70,230
9 Lacs+","Rs 8,46,123
8 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,16,353
18 Lacs+",
