0,1,2,3,4,5,6,7,8
i,Cash,"50,000  50 Thou+","20,000  20 Thou+",Nil,Nil,Nil,Nil,"Rs 70,000
70 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI BANK
16,65,001  16 Lacs+

AXIS BANK BRANCH Chikhli
36,956  36 Thou+","SBI BRANCH MUMBAI
10,10,339  10 Lacs+

ICICI BANK BRANCH MUMBAI
9,58,823  9 Lacs+

Thorana mahila branch Buldhana
2,61,700  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 39,32,819
39 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,"ICICI
2,04,800  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,04,800
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,"6 Years NATIONAL SAVING
5,000  5 Thou+

6 Years NATIONAL SAVING
1,000  1 Thou+

6 Years NATIONAL SAVING
1,000  1 Thou+",Nil,Nil,Nil,Nil,"Rs 7,000
7 Thou+"
"(b)
LIC or other insurance Policies",Nil,"LIC POLICY
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,00,000
5 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"45 Tola
16,65,000  16 Lacs+","8 Tola
2,96,000  2 Lacs+",Nil,"3 Tola
1,11,000  1 Lacs+",Nil,Nil,"Rs 20,72,000
20 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"34,16,957  34 Lacs+","32,58,662  32 Lacs+",Nil,"1,11,000  1 Lacs+",Nil,Nil,"Rs 67,86,619
67 Lacs+",
Totals (Calculated as Sum of Values),"Rs 34,16,957
34 Lacs+","Rs 32,58,662
32 Lacs+",Nil,"Rs 1,11,000
1 Lacs+",Nil,Nil,"Rs 67,86,619
67 Lacs+",
