0,1,2,3,4,5,6,7,8
i,Cash,"5,00,000  5 Lacs+","80,000  80 Thou+",Nil,Nil,Nil,Nil,"Rs 5,80,000
5 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","1.TDCC Bank Mokhada
4,485  4 Thou+

2.HDFC Bank Javhar
0*(Value Not Given)  

3.S.B.I.Bank Javhar
398.80  3 Hund+

4.The Javhar Urban Bank
561  5 Hund+","TDCC Bank Mokhada
170  1 Hund+",Nil,Nil,Nil,Nil,"Rs 5,614.80
5 Thou+"
iii,"Bonds, Debentures and Shares in companies","The Jawhar Urban Bank Shares
13,750  13 Thou+

Morhada V.K.S Sanstha Shares
20,000  20 Thou+

Shindepada V.K.S.Sanstha Shares
20,100  20 Thou+","Shindepada V.K.S.Sanstha Shares
20,000  20 Thou+",Nil,Nil,Nil,Nil,"Rs 73,850
73 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 5,00,000
5 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Fortuner Vehicle MH04-FV-4144 Date 20/11/2013
24,50,120  24 Lacs+","Scorpio Vehicle MH04-GM-4144 Date 17/4/2014
12,50,000  12 Lacs+",Nil,Nil,Nil,Nil,"Rs 37,00,120
37 Lacs+"
vii,Jewellery (give details weight value),"4 Tola
1,60,000  1 Lacs+","23 Tola
9,20,000  9 Lacs+",Nil,"5 Tola
2,00,000  2 Lacs+","1 Tola
40,000  40 Thou+",Nil,"Rs 13,20,000
13 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"36,69,414  36 Lacs+","22,70,170  22 Lacs+",Nil,"2,00,000  2 Lacs+","40,000  40 Thou+",Nil,"Rs 61,79,584
61 Lacs+",
Totals (Calculated as Sum of Values),"Rs 36,69,414.80
36 Lacs+","Rs 22,70,170
22 Lacs+",Nil,"Rs 2,00,000
2 Lacs+","Rs 40,000
40 Thou+",Nil,"Rs 61,79,584.80
61 Lacs+",
