0,1,2,3,4,5,6,7,8
i,Cash,"10,000  10 Thou+","5,000  5 Thou+",Nil,"5,000  5 Thou+","5,000  5 Thou+",Nil,"Rs 25,000
25 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Shri Bhausaheb Thorat Sugar Factory Amrutnagar
1,19,412.50  1 Lacs+

Vividh Karyakari Seva Sah Society
17,660  17 Thou+

Union Bank Of India Ghulewadi 29-6-2015
5,00,000  5 Lacs+

Union Bank Of India Ghulewadi 04-02-2019
5,00,000  5 Lacs+

Union Bank Of India Ghulewadi 28-03-2019
5,00,000  5 Lacs+

Union Bank Of India Ghulewadi 28-3-2019
6,00,000  6 Lacs+

Union Bank Of India Ghulewadi 28-03-2019
5,00,000  5 Lacs+

Union Bank Of India Ghulewadi 22-7-2019
5,00,000  5 Lacs+

Union Bank Of India Ghulewadi 22-07-19
5,00,000  5 Lacs+

The Ahmednagar District Sahakari Bank Sangamner
49,806  49 Thou+

The Ahmednagar District Sahakari Bank
6,827  6 Thou+

Union Bank Of India
1,41,425  1 Lacs+

Amrut Gramin Non Agriculture
2,80,457  2 Lacs+

State Bank of India
66,894  66 Thou+

Shri Bhausaheb Thorat Amrutvahini Nagari Bank
45,617  45 Thou+

Union Bank Of india
25,384  25 Thou+

State Bank Of India
2,11,308  2 Lacs+

Axis Bank Sangamner
8,643  8 Thou+

Kotak Mahindra Bank
1,67,022  1 Lacs+","Shri Bhausaheb Thorat Sugar Factory Amrutnagar
96,780  96 Thou+

Vividh Karyakari Seva Sah Society
245.53  2 Hund+

Shri Bhausaheb Thorat Amrutvahini Nagari Bank 3-4-2017
3,00,000  3 Lacs+

Shri Bhausaheb Thorat Amrutvahini Nagari Bank 05-04-2017
3,00,000  3 Lacs+

Shri Bhausaheb Thorat Amrutvahini Nagari Bank 19-04-2017
7,50,000  7 Lacs+

The Ahmednagar District Sahakari Bank Sangamner
5,466  5 Thou+

The Ahmednagar District Sahakari Bank
8,563  8 Thou+

Union Bank Of India
78,623  78 Thou+

Shri Bhausaheb Thorat Amrutvahini Nagari Bank
13,735  13 Thou+

Sangram Nagari Sahakari Patsanstha
514  5 Hund+

HDFC Bank Sangamner
37,571  37 Thou+

Kotak Mahindra Bank
48,267  48 Thou+

Post Office Saving
378  3 Hund+",Nil,"Union Bank Of India 13-11-2018
3,00,000  3 Lacs+

Union Bank Of India 08-02-2019
2,00,000  2 Lacs+

The Ahmednagar District Sahakari Bank
1,260  1 Thou+

Union Bank Of India
1,43,316  1 Lacs+

Shri Bhausaheb Thorat Amrutvahini Nagari Bank
28,864  28 Thou+

IDBI Bank Sangamner
1,74,355  1 Lacs+

Ashirvad Nagari Patsanstha
3,602  3 Thou+","Shri Bhausaheb Thorat Sugar Factory Amrutnagar
1,70,209  1 Lacs+

Union Bank Of India
5,00,000  5 Lacs+

The Ahmednagar District Bank
10,891  10 Thou+

The Ahmednagar District Bank
14,408  14 Thou+

Union Bank Of India
4,43,826  4 Lacs+

Kotak Mahindra Bank
25,353  25 Thou+",Nil,"Rs 83,96,682.03
83 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Sah Maharashi Bhausaheb Sugar Factory
30,000  30 Thou+

Vividh Karyakari Seva Society
20,000  20 Thou+

Amrutvahini Dairy Business
20,000  20 Thou+

Shri Bhausaheb Thorat Amrutvahini
5,000  5 Thou+

Garud Kukkut Palan Sahakari Sanstha
250  2 Hund+

Amrut Gramin Non Agriculture
250  2 Hund+

Union Bank Of India
11,533  11 Thou+

Worli Sagar Co-op Housing Society Worli
250  2 Hund+

Mutual Fund- Union Bank Of India
13,00,000  13 Lacs+","Sah Maharashi Bhausaheb Sugar Factory
40,000  40 Thou+

Vividh Karyakari Seva Society
2,020  2 Thou+

Shri Bhausaheb Thorat Amrutvahini
3,00,000  3 Lacs+

Sangram Nagari Sahakari Patsanstha Sangamner
1,000  1 Thou+",Nil,"Shri Bhausaheb Thorat Amrutvahini Bank
1,75,000  1 Lacs+","Sahakar Mahtrish Bhausaheb Thorat Sah. Sakhar Karkhan Lit. Amritnagar
40,000  40 Thou+",Nil,"Rs 19,45,303
19 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,"Post Office Saving
44,625  44 Thou+",Nil,Nil,Nil,Nil,"Rs 44,625
44 Thou+"
"(b)
LIC or other insurance Policies","Bhartiya Ayurvima Mahamandal LIC 952271654, Amount Rs 500000/-
10,66,636  10 Lacs+

Star Union Daichi 00779456 2000000
13,29,508  13 Lacs+","Star Sudlife 01232808 Rs 699200/-
1,90,210  1 Lacs+

Reliance Nippon Life Insurance TJ909349 212364
24,308  24 Thou+",Nil,"Star Sudlife 01238109
2,08,131  2 Lacs+

Star Sudlife 01240542
31,860  31 Thou+","Bhartiya Ayurvima LIC 955757292
32,292  32 Thou+

Bhartiya Ayurvima LIC 958021970
4,07,612  4 Lacs+

Bhartiya Ayurvima LIC 958067108
86,683  86 Thou+

Bhartiya Ayurvima LIC 994001985
1,31,533  1 Lacs+

Bhartiya Ayurvima LIC 994001986
71,296  71 Thou+

Bhartiya Ayurvima LIC 994001987
51,585  51 Thou+

Bhartiya Ayurvima LIC 994257604
33,987  33 Thou+

TATA AIG Life Insurance 010558911
1,23,170  1 Lacs+

Star Sudlife 01066447 2000000
3,04,054  3 Lacs+",Nil,"Rs 40,92,865
40 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"Gold 20.500 Gram 3900 Per Gram
79,950  79 Thou+","Gold 1170.600 Gram 3900 Per Gram (Self 540.600 Gram And Mother In Law 630.00 Gram)
45,65,340  45 Lacs+",Nil,"Gold 20 Gram 3900 Per Gram
78,000  78 Thou+","Gold 20 Gram 3900 Per Gram
78,000  78 Thou+",Nil,"Rs 48,01,290
48 Lacs+"
viii,"Other assets, such as values of claims / interests","Sahakar Maharshi Bhausaheb Thorat Sugar Factory
13,057  13 Thou+

Jorve Vividh Karyakari Seva Sah Society Marya, Jovern
2,619  2 Thou+

Amrut Gramin Non Agriculture
75  

Amrutvahini Dairy Business
46,214  46 Thou+

Shri Bhausaheb Thorat Amrutvahini Nagari Sah Bank
262  2 Hund+

Union Bank Of India, Branch Ghulewadi
1,90,755  1 Lacs+","Sahakar Maharshi Bhausaheb Thorat Sugar Factory
10,439  10 Thou+

Jorve Vividh Karyakari Seva Sah Society
190  1 Hund+

Shri Bhausaheb Thorat Amrutvahini Nagari Sah Bank
76,930  76 Thou+",Nil,"Union Bank Of India, Branch Ghulewadi
9,735  9 Thou+","Union Bank Of India, Branch Ghulewadi
1,64,773  1 Lacs+

Sahakar Mahrish Bhausaheb Thorat Sah. Sakhar Karkhan L. Sangamner
19,935  19 Thou+",Nil,"Rs 5,34,984
5 Lacs+"
Gross Total Value (as per Affidavit),"88,66,822  88 Lacs+","69,00,206  69 Lacs+",Nil,"13,59,123  13 Lacs+","27,14,608  27 Lacs+",Nil,"Rs 1,98,40,759
1 Crore+",
