0,1,2,3,4,5,6,7,8
i,Cash,"51,000  51 Thou+","25,000  25 Thou+",Nil,Nil,Nil,Nil,"Rs 76,000
76 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","S J M Bank
3,02,305  3 Lacs+

B S Bank
1,41,150  1 Lacs+

S J M Bank
1,98,053  1 Lacs+

S J M Bank
1,58,397  1 Lacs+

BOM
4,695  4 Thou+

B S Bank
5,22,197  5 Lacs+

B S Bank
400  4 Hund+

Bharti Sah Bank
48,583  48 Thou+

Dhairyashil Patsanstha
6,06,001  6 Lacs+

S G M Bank
67,870  67 Thou+","B S Bank
1,37,284  1 Lacs+

B S Bank
1,64,232  1 Lacs+

B S Bank
2,71,168  2 Lacs+

HDFC Bank
55,187  55 Thou+

B S Bank
1,00,774  1 Lacs+

Dhairyashil Savant
5,71,971  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 33,50,267
33 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Shri Dhanamma Devi Sugar And Power Shares
50,72,000  50 Lacs+

Vishvaj Energy Pvt Ltd
8,500  8 Thou+

Shri Safari Hotels And Resource
50  

S S S Suslad
3,600  3 Thou+

Dhairyashil Patsanstha
100  1 Hund+

Siddhivinayak Patsanstha
200  2 Hund+

Datt Nagari Patsanstha
100  1 Hund+","Dhairyashil Patsanstha
100  1 Hund+

Siddhivinayak Patsanstha
200  2 Hund+

Datt Nagari Patsanstha
100  1 Hund+

Bharti Bank
1,000  1 Thou+",Nil,Nil,Nil,Nil,"Rs 50,85,950
50 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
1,00,000  1 Lacs+

LIC
50,000  50 Thou+

LIC
28,000  28 Thou+

LIC
50,000  50 Thou+

LIC
2,00,000  2 Lacs+

LIC
1,00,000  1 Lacs+

Tata LIC
3,26,000  3 Lacs+

Max Life LIC
1,11,569  1 Lacs+

Bajaj Allianz
1,00,000  1 Lacs+","LIC
10,000  10 Thou+

LIC
25,000  25 Thou+

HDFC
5,00,000  5 Lacs+

Bajaj Allianz
1,00,000  1 Lacs+",Nil,"Kotak Policy
5,96,253  5 Lacs+","Kotak Policy
6,15,580  6 Lacs+",Nil,"Rs 29,12,402
29 Lacs+",
v,Personal loans/advance given,"Shri Dhanamma Devi Sugar And Power
30,00,000  30 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 30,00,000
30 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Maruti Swift
10,25,000  10 Lacs+

Pajero
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 14,25,000
14 Lacs+"
vii,Jewellery (give details weight value),"Gold 100 Gram
3,90,000  3 Lacs+","250 Gram Gold
9,75,000  9 Lacs+

500 Gram Silver
22,500  22 Thou+",Nil,Nil,Nil,Nil,"Rs 13,87,500
13 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"1,30,85,770  1 Crore+","29,59,516  29 Lacs+",Nil,"5,96,253  5 Lacs+","6,15,580  6 Lacs+",Nil,"Rs 1,72,57,119
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,30,65,770
1 Crore+","Rs 29,59,516
29 Lacs+",Nil,"Rs 5,96,253
5 Lacs+","Rs 6,15,580
6 Lacs+",Nil,"Rs 1,72,37,119
1 Crore+",
