
i,Cash,"22,66,277  22 Lacs+","12,86,305  12 Lacs+","18,937  18 Thou+",Nil,Nil,Nil,"Rs 35,71,519
35 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","HDFC
14,170  14 Thou+

HDFC
8,68,140  8 Lacs+

PMC Bank
4,865  4 Thou+

PMC Bank
4,85,797  4 Lacs+

Union Bank
7,808  7 Thou+

Abhudaya Bank
1,000  1 Thou+

PMC Bank
10,225  10 Thou+

ICICI Bank
3,48,668  3 Lacs+

Yes Bank
25,57,835  25 Lacs+

FD PMC
50,00,000  50 Lacs+

FD PMC
40,00,000  40 Lacs+

FD PMC
67,74,242  67 Lacs+

FD PMC
67,74,243  67 Lacs+

FD PMC
1,34,81,009  1 Crore+

FD PMC
22,98,000  22 Lacs+

FD PMC
49,000  49 Thou+

FD HDFC
1,10,34,947  1 Crore+","HDFC
13,56,746  13 Lacs+

PMC Bank
21,28,456  21 Lacs+

PMC Bank
9,19,320  9 Lacs+

Vidarbha Konkan Gramin Bank
24,519  24 Thou+

Union Bank
7,306  7 Thou+

HDFC Bank
63,538  63 Thou+

PMC Bank
11,528  11 Thou+

ICICI Bank
27,26,565  27 Lacs+

Abhudaya Co Op Bank
1,363  1 Thou+

FD PMC Bank
17,436  17 Thou+

FD PMC Bank
22,98,000  22 Lacs+

FD PMC Bank
1,000  1 Thou+

FD PMC Bank
48,000  48 Thou+

FD PMC Bank
2,000  2 Thou+

FD PMC Bank
40,78,904  40 Lacs+

FD Vidarbha Kokan Bank
7,84,083  7 Lacs+

PMC Bank
11,47,337  11 Lacs+

FD PMC Bank
40,78,904  40 Lacs+","PMC
7,52,871  7 Lacs+

FD PMC Bank
18,22,991  18 Lacs+",Nil,Nil,Nil,"Rs 7,59,80,816
7 Crore+"
iii,"Bonds, Debentures and Shares in companies","Ichapurti Infrastructure
50,000  50 Thou+","Ichapurti Infrastructure
50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 1,00,000
1 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","HDFC
99,185  99 Thou+","HDFC
99,185  99 Thou+

LIC
90,563  90 Thou+",Nil,Nil,Nil,Nil,"Rs 2,88,933
2 Lacs+"
v,Personal loans/advance given,"Chandu Patel
10,00,000  10 Lacs+

Dipti Vaikar Potnis
50,00,000  50 Lacs+

Mahal Picture Pvt Ltd
8,00,000  8 Lacs+

Mahakali Joggers Park Organization
3,00,000  3 Lacs+

Ravindra Vaikar
2,06,00,000  2 Crore+

Ichapurti Infrastructure
34,50,000  34 Lacs+

Advance
1,85,000  1 Lacs+

Aishwarya Light Construction
5,59,324  5 Lacs+

Prajakta Vaikar Mahale
23,00,000  23 Lacs+

Rent
11,40,000  11 Lacs+","Ravindra Vaikar
3,88,487  3 Lacs+

Ravindra Vaikar
75,50,000  75 Lacs+

Dipti Vaikar Potnis
74,20,858  74 Lacs+

Prajakta Vaikar Mahale
33,00,000  33 Lacs+

Parvati Export
2,90,000  2 Lacs+

Coming Amount
6,46,566  6 Lacs+

Ichapurti Infrastructure Pvt Ltd
1,37,00,000  1 Crore+

Dipti Consultancy Service
10,00,000  10 Lacs+

Amey Consultancy Service
5,00,000  5 Lacs+

Loan
3,15,000  3 Lacs+","Rent
5,40,000  5 Lacs+",Nil,Nil,Nil,"Rs 7,09,85,235
7 Crore+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"238 Gram
8,24,670  8 Lacs+","1260 Gram
43,65,900  43 Lacs+",Nil,Nil,Nil,Nil,"Rs 51,90,570
51 Lacs+"
viii,"Other assets, such as values of claims / interests","Mahakali Joggers Park
96,51,705  96 Lacs+","Mahakali Joggers Park
96,51,705  96 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,93,03,410
1 Crore+"
Gross Total Value (as per Affidavit),"10,19,36,110  10 Crore+","7,03,49,574  7 Crore+","31,34,799  31 Lacs+",Nil,Nil,Nil,"Rs 17,54,20,483
17 Crore+"
Totals (Calculated as Sum of Values),"Rs 10,19,36,110
10 Crore+","Rs 7,03,49,574
7 Crore+","Rs 31,34,799
31 Lacs+",Nil,Nil,Nil,"Rs 17,54,20,483
17 Crore+"
