SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,00,000  1 Lacs+","3,00,000  3 Lacs+",Nil,Nil,Nil,Nil, 400000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
13,440  13 Thou+

SBI
1,46,203  1 Lacs+

Shree Navdurga
698  6 Hund+

Shree Navdurga
75,000  75 Thou+

ICICI Bank
1,33,714  1 Lacs+

HDFC Bank
474  4 Hund+","HDFC Bank
1,06,052  1 Lacs+",Nil,Nil,Nil,Nil, 475581
iii,"Bonds, Debentures and Shares in companies","Khamgaon Urban Co Op Bank Ltd., Khamgaon Br. Dhamangaon Rly
100  1 Hund+

Shree Navdurga
5,100  5 Thou+

Shree Gajanan Sah Girni
10,000  10 Thou+

Shree Gajanan Prakriya
20,000  20 Thou+

Yavatmal Urban Co Op bank
1,000  1 Thou+

Virdi Green Pvt Ltd
33,000  33 Thou+

Birla Sun Life
10,009  10 Thou+

SIP
1,20,000  1 Lacs+","Shree Navdurga Nagri Sah. Patsanstha
100  1 Hund+

Shree Gajanan Sahakari
20,000  20 Thou+

Shree Gajanan Prakriya
1,000  1 Thou+

Dattakrupa Agro & Beverage
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil, 320309
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
4,98,511  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,98,511
4 Lacs+",0
v,Personal loans/advance given,"Hand Loan Advanced Person
12,00,000  12 Lacs+

Hand Loan Company
17,00,000  17 Lacs+",Nil,Nil,Nil,Nil,Nil, 2900000
vi,"Motor Vehicles (details of make, etc.)","Volkswagen MH27BE6001
12,50,000  12 Lacs+

Royal Enfield MHR5131
50,000  50 Thou+",Nil,Nil,Nil,Nil,Nil, 1300000
vii,Jewellery (give details weight value),"Gold 300 Gram
11,10,000  11 Lacs+","600 Gram Gold
22,20,000  22 Lacs+

1000 Gram Silver
50,000  50 Thou+",Nil,"50 Gram Gold
1,85,000  1 Lacs+","35 Gram Gold
1,29,500  1 Lacs+",Nil, 3694500
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"64,87,249  64 Lacs+","27,97,152  27 Lacs+",Nil,"1,85,000  1 Lacs+","1,29,500  1 Lacs+",Nil, 9598901
xi,Totals (Calculated as Sum of Values),"Rs 64,77,249
64 Lacs+","Rs 27,97,152
27 Lacs+",Nil,"Rs 1,85,000
1 Lacs+","Rs 1,29,500
1 Lacs+",Nil, 9588901
