SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"54,628  54 Thou+","15,282  15 Thou+",Nil,Nil,Nil,Nil, 69910
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Mahesh Urban Co Op Bank
77,641  77 Thou+

Bank Of India
3,146  3 Thou+

State Bank Of India
25,537  25 Thou+

State Bank Of India
1,57,481  1 Lacs+

State Bank Of India
0  

Latur District Bank Shirur Tajband
1,005  1 Thou+

MSEB
22,970  22 Thou+

Others
1,37,299  1 Lacs+","Mahesh Urban Co Op Bank
9,215  9 Thou+",Nil,Nil,Nil,Nil, 434294
iii,"Bonds, Debentures and Shares in companies","Jagruti Sugar And Allied Industried
25,000  25 Thou+

Vividh Karykari Seva Society Shirur
54,590  54 Thou+

Mahesh Urban Bank
50,000  50 Thou+

Vaidhnath Urban Bank
1,000  1 Thou+

Bhagyalaxmi Mahila Sahakari Bank
1,000  1 Thou+

Mahesh Nagari Patsasntha
100  1 Hund+

Mahesh Sahakari Vastroudyog
5,890  5 Thou+

Siddhi Sugar And Allied Industries
50,00,000  50 Lacs+

Siddhi Shetkar Producer Ujna
23,500  23 Thou+

Ujna Milk Product Company Sangvi Sunegaon
2,70,000  2 Lacs+

Varsha Gruhnirman Sanstha
5,000  5 Thou+","Mahesh Urban Bank
500  5 Hund+",Nil,Nil,Nil,Nil, 5436580
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
9,07,793  9 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 9,07,793
9 Lacs+",0
v,Personal loans/advance given,"Baal Bhagvan Shikshan Prasarak Mandal Ahmedpur
77,310  77 Thou+",Nil,Nil,Nil,Nil,Nil, 77310
vi,"Motor Vehicles (details of make, etc.)","Khadi Machinery 1996
65,000  65 Thou+

Mahindra SUVM24AD5151 2014
13,07,563  13 Lacs+

Mahindra Tractor MH245433 2010
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil, 1572563
vii,Jewellery (give details weight value),Nil,"100 Tola Gold
38,00,000  38 Lacs+",Nil,Nil,Nil,Nil, 3800000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"84,73,455  84 Lacs+","38,24,997  38 Lacs+",Nil,Nil,Nil,Nil, 12298452
xi,Totals (Calculated as Sum of Values),"Rs 84,73,453
84 Lacs+","Rs 38,24,997
38 Lacs+",Nil,Nil,Nil,Nil, 12298450
