SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"10,20,740  10 Lacs+","5,12,200  5 Lacs+",Nil,"4,42,000  4 Lacs+",Nil,Nil, 1974940
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
2,92,060  2 Lacs+

NDCC
2,43,016  2 Lacs+

HDFC
10,369.36  10 Thou+

Pipals co-op
1,553  1 Thou+",Nil,Nil,Nil,Nil,Nil, 546998.36
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Fortuner
34,30,667  34 Lacs+",Nil,Nil,Nil,Nil,Nil, 3430667
vii,Jewellery (give details weight value),"Gold 220 Grams
7,50,000  7 Lacs+","Gold 410 Grams
15,50,000  15 Lacs+",Nil,"70 Grams Gold
2,50,000  2 Lacs+",Nil,Nil, 2550000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),0,0,Nil,0,Nil,Nil, 0
xi,Totals (Calculated as Sum of Values),"Rs 57,48,405.36
57 Lacs+","Rs 20,62,200
20 Lacs+",Nil,"Rs 6,92,000
6 Lacs+",Nil,Nil, 8502605.36
