SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"4,11,000  4 Lacs+","2,21,000  2 Lacs+",Nil,Nil,Nil,Nil, 632000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of India
10,000  10 Thou+

Devgiri Nagri Sahkari Bank
2,618  2 Thou+

SBI
25,57,709  25 Lacs+

Bank of Baroda
23,226  23 Thou+

Syndicate Bank
16,049  16 Thou+

Jaybhavani Nagri Sahkari Credit Society
1,000  1 Thou+

Jaybhavani Nagri Sahkari Credit Society
40,000  40 Thou+

Jaybhavani Nagri Sahkari Credit Society
40,000  40 Thou+","Devgiri Nagri Sahkari Bank
6,653  6 Thou+

Syndicate Bank
9,409  9 Thou+

Jaybhavani Nagri Sahkari Credit Society
1,00,000  1 Lacs+

Jaybhavani Nagri Sahkari Credit Society
1,00,000  1 Lacs+",Nil,"SBI
50,000  50 Thou+",Nil,Nil, 2956664
iii,"Bonds, Debentures and Shares in companies","Devgiri Nagri Sahkari Bank
2,500  2 Thou+

Jaybhavani Nagri Sahkari Credit Society
100  1 Hund+

Chatrapati Sambhaji Raje Sugar Factory
5,000  5 Thou+

Wishvkarma Nagri Sahkari Bank
500  5 Hund+","Devgiri Nagri Sahkari Bank
2,500  2 Thou+

Jaybhavani Nagri Sahkari Credit Society
6,600  6 Thou+",Nil,Nil,Nil,Nil, 17200
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","Beema Policy
20,25,000  20 Lacs+

Beema Policy
26,95,000  26 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 47,20,000
47 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Toyota Innova MH21V9878
16,00,000  16 Lacs+",Nil,Nil,"Hero Pleasure MH20BZ9824
43,000  43 Thou+",Nil,Nil, 1643000
vii,Jewellery (give details weight value),"Gold 5 Tola
1,90,000  1 Lacs+","Gold 25 Tola
9,50,000  9 Lacs+

Silver 250 Gm
12,500  12 Thou+",Nil,"Gold 1 Tola
38,000  38 Thou+",Nil,Nil, 1190500
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"96,19,703  96 Lacs+","14,08,662  14 Lacs+",Nil,"1,31,000  1 Lacs+",Nil,Nil, 11159365
xi,Totals (Calculated as Sum of Values),"Rs 96,19,702
96 Lacs+","Rs 14,08,662
14 Lacs+",Nil,"Rs 1,31,000
1 Lacs+",Nil,Nil, 11159364
