SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,00,145  1 Lacs+","33,700  33 Thou+",Nil,Nil,Nil,Nil, 133845
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Axis Bank
6,25,088  6 Lacs+

SBI
43,561  43 Thou+

Shivparvati Mahila Bank
3,404  3 Thou+

SSUB Bank
27,091  27 Thou+

PDCC Bank
17,387  17 Thou+

PDCC Bank
1,091  1 Thou+

PDCC Bank
539  5 Hund+

SBI Bank
10,584  10 Thou+

SSUB Bank
3,99,135  3 Lacs+

Jintur Urban Bank
3,67,708  3 Lacs+

Shivparvati Mahila Bank
1,02,731  1 Lacs+

Shivparvati Mahila Bank
1,02,731  1 Lacs+

SSUB Bank
3,48,510  3 Lacs+

SSUB Bank
1,13,410  1 Lacs+

SSUB Bank
96,871  96 Thou+

SSUB Bank
1,13,411  1 Lacs+

SSUB
1,13,408  1 Lacs+

SSUB Bank
1,10,916  1 Lacs+

SSUB
1,10,912  1 Lacs+

SSUB
1,10,914  1 Lacs+

SSUB
96,628  96 Thou+

SSUB
62,042  62 Thou+

SSUB
4,55,882  4 Lacs+

SSUB
13,57,690  13 Lacs+

Axis Bank
5,15,922  5 Lacs+

Axis Bank
40,68,586  40 Lacs+

Axis Bank
5,053  5 Thou+

SBI
8,574  8 Thou+","SBI
75,116  75 Thou+

Axis Bank
1,02,379  1 Lacs+",Nil,"Axis Bank
1,00,450  1 Lacs+","Axis Bank
99,806  99 Thou+",Nil, 9767530
iii,"Bonds, Debentures and Shares in companies","Arcade Shares
250  2 Hund+

Birla India Fund
25,000  25 Thou+

Birla Sunlight Fund
9,37,000  9 Lacs+

Good Health Land
60,000  60 Thou+

Hingoli Bank
5,000  5 Thou+

Kotak Op Fund
25,000  25 Thou+

Reliance Visions Fund
25,000  25 Thou+

Reliance Visions Fund
25,000  25 Thou+

ICICI
1,11,000  1 Lacs+

HDFC
1,13,000  1 Lacs+

PDCC
14,640  14 Thou+

SPMB
22,000  22 Thou+

Sundaram Shares
53,000  53 Thou+

S S Bank
1,000  1 Thou+

UTI Bonds
5,00,000  5 Lacs+

Sundaram BNP
25,000  25 Thou+

Mangalmurti Funds
50,000  50 Thou+

Tulja Bhawani Sugar Industries
2,60,000  2 Lacs+

Tulja Bhawani Sugar Industries
10,00,000  10 Lacs+

NJ India Invest Private Ltd
5,71,617  5 Lacs+

Anand Rathi
4,00,000  4 Lacs+

Canara Bank
15,525  15 Thou+

PDCC Shares
800  8 Hund+

PDCC Shares
400  4 Hund+

Shares Silver Global Life Insurance
32,636  32 Thou+","Mutual Fund
24,26,945  24 Lacs+",Nil,Nil,Nil,Nil, 6699813
iv,"(a)
NSS, Postal Savings etc","NSS
28,000  28 Thou+

Post Saving
1,000  1 Thou+","PPF
3,75,442  3 Lacs+

JPF
13,66,637  13 Lacs+",Nil,Nil,Nil,Nil, 1771079
"(b)
LIC or other insurance Policies",Nil,"LIC
1,00,000  1 Lacs+

LIC
2,00,000  2 Lacs+

Installment
16,290  16 Thou+",Nil,Nil,Nil,Nil,"Rs 3,16,290
3 Lacs+",0
v,Personal loans/advance given,"Godown Construction
65,86,651  65 Lacs+

Digambar Sakore
5,50,000  5 Lacs+

Indra Sakore
5,50,000  5 Lacs+

Mangalmurti
20,14,000  20 Lacs+

Shri Developers
1,00,000  1 Lacs+

Pune Property Advance
20,00,000  20 Lacs+

Shri Tulja Bhawani Sugar Industries
1,20,69,000  1 Crore+

Atharva Tractors
27,500  27 Thou+

Swapna Amol Yadav
1,67,730  1 Lacs+

Tanaji Dhere
2,90,000  2 Lacs+

Milind Pawar
50,000  50 Thou+

Somnath Sakore
1,45,000  1 Lacs+

Firbs Ltd
5,00,000  5 Lacs+

Krushnaji Sakore
1,60,000  1 Lacs+

Minatai Kadam
48,08,847  48 Lacs+

Dhruv Sakore
50,000  50 Thou+

Ishita Sakore
50,000  50 Thou+

KD Chaudhary
82,845  82 Thou+

Madhukar N
55,000  55 Thou+","LIC
5,00,000  5 Lacs+

LIC
3,00,000  3 Lacs+",Nil,Nil,Nil,Nil, 31056573
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"20 Gram Gold
7,43,526  7 Lacs+

5 Kg Silver
42,425  42 Thou+","Gold
88,000  88 Thou+",Nil,Nil,Nil,Nil, 873951
viii,"Other assets, such as values of claims / interests","Silver Clinical Supplies
55,00,000  55 Lacs+

Shri Jagdamba Oil Industries
10,71,028  10 Lacs+

Swapna Builders And Developers
40,41,247  40 Lacs+

Swapna Farms Fix Capital
10,000  10 Thou+

Swapna Farms
36,75,888  36 Lacs+

Radhika Builders And Developers
50,000  50 Thou+

Jagdamba Assemble And Manufacturers
2,20,807  2 Lacs+

Yashivardhan Dairy
27,648  27 Thou+

Thane Flat
60,116  60 Thou+

Dead Stock
1,66,490  1 Lacs+

Mister Shares Broking
1,02,677  1 Lacs+

Jintur MIDC
4,01,600  4 Lacs+

Household Business
1,88,000  1 Lacs+","Fire Arms
5,000  5 Thou+

Household Use
10,70,000  10 Lacs+

Meghna Sakore
2,65,400  2 Lacs+",Nil,Nil,Nil,Nil, 16855901
x,Gross Total Value (as per Affidavit),"6,03,49,822.47  6 Crore+","58,05,619  58 Lacs+",Nil,"1,00,450.02  1 Lacs+","99,806  99 Thou+",Nil, 66355697.49
xi,Totals (Calculated as Sum of Values),"Rs 6,03,49,817
6 Crore+","Rs 69,24,909
69 Lacs+",Nil,"Rs 1,00,450
1 Lacs+","Rs 99,806
99 Thou+",Nil, 67474982
