SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"32,00,000  32 Lacs+","13,00,000  13 Lacs+",Nil,Nil,Nil,Nil, 4500000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank Of Baroda
97,557  97 Thou+

Bank Of India
20,416  20 Thou+

Bank Of India
4,315  4 Thou+

Bank Of Maharashtra
5,681  5 Thou+

Bhagyalaxmi Nagri Sah Bank
4,751  4 Thou+

Jayvant Multistate Co Op Society
100  1 Hund+

Osmanbad Bank
39,213  39 Thou+

Osmanbad Bank
1,919  1 Thou+

Shivshakti Urban Co Op Bank
1,000  1 Thou+

SBI
60,708  60 Thou+

SBI
43,176  43 Thou+

Shivshakti Urban Co Op bank
218  2 Hund+

BOI
1,062  1 Thou+

BOM
14,460  14 Thou+

Bhagyalaxmi Bank
6,782  6 Thou+

Baramati Sah Bank
946  9 Hund+

Pandharpur Urban Co Op Bank
1,08,99,220  1 Crore+","Shivshakti Urban Co Op Bank
30,539  30 Thou+",Nil,Nil,Nil,Nil, 11232063
iii,"Bonds, Debentures and Shares in companies","Bhagyalxmi Mineral Water Pvt Ltd
1,00,000  1 Lacs+

Bhagyalaxmi Sah Bank
2,010  2 Thou+

Laxmi Dairy Production
27,50,000  27 Lacs+

Laxmi Sopan Agriculture Produce
1,62,00,000  1 Crore+

Laxmi Sopan Hospital And Research Center
25,000  25 Thou+

Laxmi Sopan Sugar Genetal And Ethonol Co
23,25,000  23 Lacs+

Lokmangal Agro Industries
10,000  10 Thou+

Osmanabad Janta Bank
24,500  24 Thou+

Satyabhama Vitthal Construction Pvt Ltd
10,00,000  10 Lacs+

Shivshakti Urban Co Op Bank
2,73,000  2 Lacs+

Laxmi Krushi
1,000  1 Thou+

Pandharpur Urban Co Op Bank
5,03,000  5 Lacs+","Indreshwar Sugars Pvt Ltd
10,000  10 Thou+

Shivshakri Urban Co Op Bank
3,17,295  3 Lacs+

Bhagyalaxmi Mineral Water
2,50,000  2 Lacs+

Satyabhama Vitthal Construction
16,00,000  16 Lacs+",Nil,Nil,Nil,Nil, 25390805
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"Bhagyalxmi Mineral Water Pvt Ltd
1,03,26,000  1 Crore+

Faromatic Milk Cron
1,00,000  1 Lacs+

Laxmi Sopan Agriculture
1,68,47,273  1 Crore+

NUVU Canefare
50,000  50 Thou+

Satyabhama Vitthal Construction
1,12,56,337  1 Crore+

Steelmet
1,00,000  1 Lacs+

Bhimji Pawar Trading Co
5,00,000  5 Lacs+

Subhash Jadhavar
3,50,000  3 Lacs+

Sagar Kavle
7,75,000  7 Lacs+

Tanaji Gaikwad
11,00,000  11 Lacs+

Abedkhan Pathan
2,00,000  2 Lacs+

Gauri Traders
1,00,000  1 Lacs+

Ranjit Raut
65,00,000  65 Lacs+

Soheil Yunnus
10,00,000  10 Lacs+

Ranvir Raut
80,83,000  80 Lacs+

Utopen Sugar Lts
50,00,000  50 Lacs+

Mahadev Raut
5,00,000  5 Lacs+

Radha Munde
50,000  50 Thou+

Basaveshvar Bagal
5,00,000  5 Lacs+

Business
34,20,275  34 Lacs+","Rajendra Raut
2,40,67,300  2 Crore+",Nil,Nil,Nil,Nil, 90825185
vi,"Motor Vehicles (details of make, etc.)","Bullet MFN5661
28,700  28 Thou+

MH14CX5220 Fortuner
34,15,000  34 Lacs+",Nil,Nil,Nil,Nil,Nil, 3443700
vii,Jewellery (give details weight value),"30 Tola Gold
8,40,000  8 Lacs+","40 Tola Gold
11,20,000  11 Lacs+",Nil,Nil,Nil,Nil, 1960000
viii,"Other assets, such as values of claims / interests","Pistol No. 67264
16,000  16 Thou+

Harbhara
1,29,03,345  1 Crore+

Urid
2,10,68,400  2 Crore+",Nil,Nil,Nil,Nil,Nil, 33987745
x,Gross Total Value (as per Affidavit),"14,26,44,364  14 Crore+","2,86,95,134  2 Crore+",Nil,Nil,Nil,Nil, 171339498
xi,Totals (Calculated as Sum of Values),"Rs 14,26,44,364
14 Crore+","Rs 2,86,95,134
2 Crore+",Nil,Nil,Nil,Nil, 171339498
