SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"50,000  50 Thou+","20,000  20 Thou+",Nil,Nil,Nil,Nil, 70000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","44,83,856  44 Lacs+","14,08,846  14 Lacs+",Nil,"Term Deposits
25,000  25 Thou+",Nil,Nil, 5917702
iii,"Bonds, Debentures and Shares in companies","Mirai asets tax saver fund
1,71,388  1 Lacs+","Mirai Asests Tax Sever fund
1,71,500  1 Lacs+",Nil,Nil,Nil,Nil, 342888
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","lic No. 926382620
10,00,000  10 Lacs+

lic No.927239424
8,00,000  8 Lacs+

lic No.925239294
7,50,000  7 Lacs+

lic No.923672105
2,95,000  2 Lacs+

Bajaj Finance Policy No.0316866672
2,50,000  2 Lacs+

Bajaj finanance Policy NO.0139572988
15,00,000  15 Lacs+",Nil,Nil,"lic policey 923672106
2,25,000  2 Lacs+",Nil,Nil,"Rs 48,20,000
48 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Honda Vangnar MH48BAH5099 Purchase year-2019
5,80,000  5 Lacs+

Toyato Enova MH01AX0529 OLD Van PUrchase Year 2018
6,15,000  6 Lacs+

Hero Honda Motor Cycle MH04F5805 Purchase Year 2000
44,000  44 Thou+","Honda Do-2 Wheeler MH48R0328 Purchase Year-2012
55,000  55 Thou+",Nil,Nil,Nil,Nil, 1294000
vii,Jewellery (give details weight value),"50 Gram Gold
1,92,250  1 Lacs+","500 gram Gold
19,22,250  19 Lacs+",Nil,Nil,Nil,Nil, 2114500
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,07,31,494  1 Crore+","35,78,596  35 Lacs+",Nil,"2,50,000  2 Lacs+",Nil,Nil, 14560090
xi,Totals (Calculated as Sum of Values),"Rs 1,07,31,494
1 Crore+","Rs 35,77,596
35 Lacs+",Nil,"Rs 2,50,000
2 Lacs+",Nil,Nil, 14559090
