SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil, 200000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","DCB BANK
2,700  2 Thou+

BANK OF BADODHA
17,000  17 Thou+",Nil,Nil,Nil,Nil,Nil, 19700
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","L I C 30/ 03 /13
2,50,000  2 Lacs+

LIC 28 /05/10
2,50,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 5,00,000
5 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"GOLD 50 GRAMS
1,50,000  1 Lacs+

SILVER 400 GRAMS
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil, 150000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"8,00,000  8 Lacs+",Nil,Nil,Nil,Nil,Nil, 800000
xi,Totals (Calculated as Sum of Values),"Rs 8,69,700
8 Lacs+",Nil,Nil,Nil,Nil,Nil, 869700
