SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"58,500  58 Thou+","25,000  25 Thou+",Nil,Nil,Nil,Nil, 83500
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Annapirna Co Op Bank
325  3 Hund+

Annapurna Mahila Co Op Bank
180  1 Hund+

BOB
805  8 Hund+

Lok Mangal Hingoli
170  1 Hund+

FDR
1,24,033  1 Lacs+

PNB
3,077  3 Thou+

PDCC Bank
22,105  22 Thou+

PDCC Bank
1,387  1 Thou+

SBI
36,465  36 Thou+

SBI
19,847  19 Thou+

Shiveshwar Bank
864  8 Hund+

BOI
15,00,000  15 Lacs+","Union Bank Of India
242  2 Hund+",Nil,Nil,Nil,Nil, 1709500
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
8,16,361  8 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 8,16,361
8 Lacs+",0
v,Personal loans/advance given,"Datta Krupa Hsg Society
5,00,000  5 Lacs+

Vijay Vishwanath Dhaktode
3,00,000  3 Lacs+","Tanhaji Mutkule
3,75,000  3 Lacs+",Nil,Nil,Nil,Nil, 1175000
vi,"Motor Vehicles (details of make, etc.)","Innova MH38C8999
20,34,010  20 Lacs+

Scorpio Mahindra MH38V0599
10,00,335  10 Lacs+",Nil,Nil,Nil,Nil,Nil, 3034345
vii,Jewellery (give details weight value),"10 Gram Gold Ring
35,000  35 Thou+","50 Gram Gold Jewellers
1,75,000  1 Lacs+",Nil,Nil,Nil,Nil, 210000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"64,53,465  64 Lacs+","5,75,242  5 Lacs+",Nil,Nil,Nil,Nil, 7028707
xi,Totals (Calculated as Sum of Values),"Rs 64,53,464
64 Lacs+","Rs 5,75,242
5 Lacs+",Nil,Nil,Nil,Nil, 7028706
