SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"20,000  20 Thou+",Nil,Nil,Nil,Nil,Nil, 20000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","HDFC
98,286  98 Thou+

SBI
1,834  1 Thou+

Jijau Commercial Co-Operative Bank Ltd
9,659  9 Thou+

The Amravati District Sah Bank
2,71,755  2 Lacs+

SBI
9,461  9 Thou+

Rashtra Sant Tukdoji Maharaj
50,000  50 Thou+",Nil,Nil,"Axis Bank
2,290  2 Thou+

Rashtra Sant Tukdoji
50,000  50 Thou+",Nil,Nil, 493285
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc","Amravati Camp Post Office
21,671  21 Thou+",Nil,Nil,Nil,Nil,Nil, 21671
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Maruti Riyaz Alfa MH27CG0405
13,50,000  13 Lacs+",Nil,Nil,Nil,Nil,Nil, 1350000
vii,Jewellery (give details weight value),"400 Gram Gold
15,00,000  15 Lacs+",Nil,Nil,Nil,Nil,Nil, 1500000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"33,32,645  33 Lacs+",Nil,Nil,"52,290  52 Thou+",Nil,Nil, 3384935
xi,Totals (Calculated as Sum of Values),"Rs 33,32,666
33 Lacs+",Nil,Nil,"Rs 52,290
52 Thou+",Nil,Nil, 3384956
