SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"45,000  45 Thou+","25,000  25 Thou+",Nil,"23,500  23 Thou+","21,000  21 Thou+","5,200  5 Thou+", 119700
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Gautam Bank
62,08,351  62 Lacs+

Gautam Bank
1,509  1 Thou+

Gautam Bank 2
1,000  1 Thou+

Sakuri Saving
0  

State Bank Kopargaon
57,739  57 Thou+

Union Bank Kolpevadi
8,57,202  8 Lacs+

Current A/c
6,21,673  6 Lacs+

BOB
10,049  10 Thou+

ADCC Bank
1,71,024  1 Lacs+

Axis Bank
26,682  26 Thou+

HDFC Bank
1,90,239  1 Lacs+

Sharad Pavar Bank
1,62,426  1 Lacs+

Karmvir Kale Bank
98,896  98 Thou+

Term Saving
3,20,000  3 Lacs+

Term Saving
1,00,000  1 Lacs+

Union Bank Of India
2,30,569  2 Lacs+

Union Bank Of India
2,16,406  2 Lacs+","Gautam Bank
25,12,175  25 Lacs+

State Bank Kopargaon
3,34,623  3 Lacs+

ADCC Bank
23,705  23 Thou+

Karmvir Kale Bank
16,932  16 Thou+","Gautam Bank
19,06,298  19 Lacs+","Gautam Bank
1,75,581  1 Lacs+

Gautam Bank
1,75,581  1 Lacs+

Gautam Bank
1,75,581  1 Lacs+

Gautam Bank
1,18,375  1 Lacs+

Gautam Bank
1,91,653  1 Lacs+

Gautam Bank
1,16,219  1 Lacs+

Gautam Bank
1,05,416  1 Lacs+

Saving A/c
16,79,207  16 Lacs+

Saving A/c
4,14,817  4 Lacs+

Gautam Bank
891  8 Hund+

State Bank Mumbai
1,79,886  1 Lacs+

Union bank
14,40,388  14 Lacs+

Union Bank
5,37,190  5 Lacs+

Union Bank
5,37,216  5 Lacs+

Union Bank
5,37,216  5 Lacs+

Union Bank
6,56,904  6 Lacs+

BOB
3,332  3 Thou+

ADCC Bank
1,23,812  1 Lacs+

Sharadchandraji Pawar Bank
47,417  47 Thou+

Sharadchandraji Pawar Bank
1,49,071  1 Lacs+

Sharadchandraji Pawar Bank
13,593  13 Thou+

Sharadchandraji Pawar Bank
73,158  73 Thou+

Karmvir Kale Bank
39,368  39 Thou+

Karmvir Kale Bank
75,000  75 Thou+

Karmvir Kale Bank
16,000  16 Thou+

Karmvir Kale Bank
48,000  48 Thou+

Karmvir Kale Bank
1,00,000  1 Lacs+

Karmvir Kale Bank
1,00,000  1 Lacs+

Karmvir Kale Bank
1,00,000  1 Lacs+

Karmvir Kale Bank
1,28,000  1 Lacs+

Karmvir Kale Bank
1,28,000  1 Lacs+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
80,000  80 Thou+

Karmvir Kale Bank
1,00,000  1 Lacs+

Karmvir Kale Bank
2,00,000  2 Lacs+

Karmvir Kale Bank
1,60,000  1 Lacs+

Karmvir Kale Bank
1,60,000  1 Lacs+

Karmvir Kale Bank
32,000  32 Thou+

BOI
5,36,720  5 Lacs+

80,000  80 Thou+

1,16,000  1 Lacs+","Gautam Bank
8,05,035  8 Lacs+

Gautam Bank
0  

Union Bank
38,881  38 Thou+

BOB
5,086  5 Thou+

ADCC Bank
91,761  91 Thou+

HDFC Bank
60,424  60 Thou+

Karmvir Kale Bank
66,054  66 Thou+

Karmvir Kale Bank
2,80,000  2 Lacs+","Gautam Bank
6,24,880  6 Lacs+

Union Bank
8,65,704  8 Lacs+

ADCC Bank
2,560  2 Thou+

Karmvir Kale Bank
28,311  28 Thou+

Karmvir Kale Bank
32,000  32 Thou+", 27099786
iii,"Bonds, Debentures and Shares in companies","Sharad Pavar Patsanstha
1,000  1 Thou+

Mahegaon VKS Share
20,000  20 Thou+

Gautam Cane Transport
25,000  25 Thou+

Godavari Khore Cane Trans
40,000  40 Thou+

Karmvir Kale
50,000  50 Thou+

Kopargaon Ginning Pressing
1,000  1 Thou+

Karmvir Kale
500  5 Hund+

Gautam Bank
1,75,000  1 Lacs+","Sharad Pavar Patsanstha
25,000  25 Thou+

Mahegaon VKS Share
100  1 Hund+

SBI Mutual Fund
6,38,686  6 Lacs+

Karmvir Kale
10,000  10 Thou+

Karmvir Kale
500  5 Hund+

Gautam Bank
10,000  10 Thou+

Gyaneshwar Ltd
20,000  20 Thou+",Nil,"Sharad Pavar Patsanstha
1,000  1 Thou+

Mahegaon Shares
20,000  20 Thou+

Gautam Cane Transport
50,000  50 Thou+

Godavari Khore Cane Transport
80,000  80 Thou+

Karmvir Kale
60,000  60 Thou+

Kopargaon Ginning Pressing
1,000  1 Thou+

Karmvir Kale
500  5 Hund+

Gautam Bank
1,17,575  1 Lacs+","Sharad Pavar Patsanstha
5,000  5 Thou+

Mahegaon Shares
20,000  20 Thou+

Karmvir Kale
50,000  50 Thou+

Kopargaon Ginning Pressing
1,000  1 Thou+

Karmvir Kale
500  5 Hund+

Gautam Bank
1,11,825  1 Lacs+","Sharad Pavar Patsanstha
10,000  10 Thou+

Mahegaon Shares
20,000  20 Thou+

Karmvir Kale
10,000  10 Thou+

Karmvir Kale
500  5 Hund+

Gautam Bank
25,000  25 Thou+", 1600686
iv,"(a)
NSS, Postal Savings etc","NSS
2,28,000  2 Lacs+",Nil,Nil,"NSS
3,49,000  3 Lacs+",Nil,Nil, 577000
"(b)
LIC or other insurance Policies","LIC SA Rs. 1200000/-, Premium Rs. 333575/-
3,33,575  3 Lacs+",Nil,Nil,Nil,"Birla Sun Life Insurance Policy, SA Rs. 1200000/-, Premium Rs. 718145/-
7,18,145  7 Lacs+",Nil,"Rs 10,51,720
10 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Tractor Kubota MH17AV6966
4,91,000  4 Lacs+

Motor Cycle TVS Star City MH17CC2738
61,500  61 Thou+

Motor Cycle Hero Splender MH17BW3093
59,887  59 Thou+

Machine
1,65,000  1 Lacs+",Nil,Nil,"LNT Jandiar Tractor MH17H1844
2,50,000  2 Lacs+

Sham Make Trailor MH172652
50,000  50 Thou+

Borivali Trailor MH17F2425
50,000  50 Thou+

Bhansali Trailor MH17AF899
1,00,000  1 Lacs+

Mitsubishi Tractor MH17T9709
1,00,000  1 Lacs+

Bostil Trailor MH17F2426
50,000  50 Thou+","Jandiar Tractor MH17BV4607
5,05,000  5 Lacs+

Innvoa Car Crista MH17BV777
24,78,641  24 Lacs+","Royal Enfield Bullet Motor Cycle Mh17Z333
30,000  30 Thou+

Mahindra SUV 500 Car MH17BV0004
22,54,571  22 Lacs+

Jandiar Tractor MH17BV1418
6,53,791  6 Lacs+

Mahindra Bolero Pick Up MH17BD2882
5,61,000  5 Lacs+", 7860390
vii,Jewellery (give details weight value),"40 Gram Gold
1,60,000  1 Lacs+","60 Gram Gold
2,40,000  2 Lacs+","10 Gram Gold
40,000  40 Thou+","10 Gram Gold
4,00,000  4 Lacs+","150 Gram Gold
6,00,000  6 Lacs+

500 Gram Silver
25,000  25 Thou+","20 Gram Gold
80,000  80 Thou+", 1545000
viii,"Other assets, such as values of claims / interests","Agriculture Equipment
1,90,000  1 Lacs+

Animals
5,00,000  5 Lacs+",Nil,"Animals
2,00,000  2 Lacs+","Agriculture Equipment
2,00,000  2 Lacs+",Nil,Nil, 1090000
x,Gross Total Value (as per Affidavit),"1,18,20,173  1 Crore+","38,56,724  38 Lacs+","21,46,298  21 Lacs+","1,20,49,167  1 Crore+","58,83,352  58 Lacs+","52,03,517  52 Lacs+", 40959231
