SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"25,000  25 Thou+",Nil,Nil,Nil,Nil,Nil, 25000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Devnagri Sahkari bank
2,26,226  2 Lacs+

Devnagri Sahkari bank
8,00,838  8 Lacs+

Maharashtra gramin bank
13,37,526  13 Lacs+

SBI Bank
1,10,235  1 Lacs+

Sambhaji Gramin
1,04,808  1 Lacs+

Devnagri Sahkari bank
1,000  1 Thou+

The Aurangabad District Central Co.op bank
802  8 Hund+",Nil,Nil,Nil,Nil,Nil, 2581435
iii,"Bonds, Debentures and Shares in companies","Devnagri Sahkari bank
5,00,000  5 Lacs+

Janta Sahkari bank
4,500  4 Thou+

Chhatrapati Sambhaji Raje
35,74,500  35 Lacs+

Devnagari sahkari sakhar karkhana
6,000  6 Thou+

Sambhaji gramin
1,000  1 Thou+

Shubda housing society
250  2 Hund+

Vividh sahkari Society
200  2 Hund+

Goverdhan milk production sahkari ltd.
300  3 Hund+",Nil,Nil,Nil,Nil,Nil, 4086750
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
10,276  10 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 10,276
10 Thou+",0
v,Personal loans/advance given,"Personal loan
1,61,75,000  1 Crore+",Nil,Nil,Nil,Nil,Nil, 16175000
vi,"Motor Vehicles (details of make, etc.)","Skoda Car
4,50,000  4 Lacs+",Nil,Nil,Nil,Nil,Nil, 450000
vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,0
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"2,33,28,461  2 Crore+",Nil,Nil,Nil,Nil,Nil, 23328461
xi,Totals (Calculated as Sum of Values),"Rs 2,33,28,461
2 Crore+",Nil,Nil,Nil,Nil,Nil, 23328461
