SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"2,50,000  2 Lacs+","50,000  50 Thou+",Nil,Nil,Nil,Nil, 300000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","60,748  60 Thou+

1,846  1 Thou+

1,08,000  1 Lacs+

1,44,028  1 Lacs+",Nil,Nil,Nil,Nil,Nil, 314622
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","SBI
4,00,000  4 Lacs+

LIC
12,00,000  12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 16,00,000
16 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),Nil,"30 Gram Gold
1,12,000  1 Lacs+",Nil,Nil,Nil,Nil, 112000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"21,64,622  21 Lacs+","1,62,000  1 Lacs+",Nil,Nil,Nil,Nil, 2326622
xi,Totals (Calculated as Sum of Values),"Rs 21,64,622
21 Lacs+","Rs 1,62,000
1 Lacs+",Nil,Nil,Nil,Nil, 2326622
