SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"38,93,400  38 Lacs+","10,000  10 Thou+",Nil,Nil,Nil,Nil, 3903400
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
4,732  4 Thou+

VO.M.C.B.
14,494  14 Thou+

HDFC
46,620  46 Thou+

VardhmAN SAHKARI PATASANSTHA
10,813  10 Thou+

a.j.m.s.bank
1,391  1 Thou+","Bank of baroda
18,000  18 Thou+

A.J.M.S. BANK
4,000  4 Thou+",Nil,"SBI
1,000  1 Thou+","Bank of baroda
1,000  1 Thou+",Nil, 102050
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
3,56,612  3 Lacs+

HDFC Life insurance
1,00,000  1 Lacs+","lic
35,000  35 Thou+",Nil,"LIC
18,000  18 Thou+",Nil,Nil,"Rs 5,09,612
5 Lacs+",0
v,Personal loans/advance given,"Sai developers
1,29,128  1 Lacs+

Bajathan jameen sarve
5,50,017  5 Lacs+

Gauro agro services
1,00,000  1 Lacs+

Rajebdra gawli
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil, 979145
vi,"Motor Vehicles (details of make, etc.)","Mahindra scorpio
16,24,449  16 Lacs+

Honda city
16,63,796  16 Lacs+

Bajaj discover motor
45,000  45 Thou+",Nil,Nil,"Honda activa moped
62,000  62 Thou+",Nil,Nil, 3395245
vii,Jewellery (give details weight value),"10 tola golds
3,50,000  3 Lacs+


0","25 tola gold
8,75,000  8 Lacs+",Nil,"20 tola golds
7,00,000  7 Lacs+",Nil,Nil, 1925000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"90,90,452  90 Lacs+","9,42,000  9 Lacs+",Nil,"7,81,000  7 Lacs+","1,000  1 Thou+",Nil, 10814452
xi,Totals (Calculated as Sum of Values),"Rs 90,90,452
90 Lacs+","Rs 9,42,000
9 Lacs+",Nil,"Rs 7,81,000
7 Lacs+","Rs 1,000
1 Thou+",Nil, 10814452
