SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,00,000  1 Lacs+","30,000  30 Thou+",Nil,Nil,Nil,Nil, 130000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iii,"Bonds, Debentures and Shares in companies","10,000  10 Thou+

2,100  2 Thou+",Nil,Nil,Nil,Nil,Nil, 12100
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Bulero
6,20,000  6 Lacs+

MH38PI0054
10,89,498  10 Lacs+",Nil,Nil,Nil,Nil,Nil, 1709498
vii,Jewellery (give details weight value),"Gold 2
76,000  76 Thou+","Gold 8
3,04,000  3 Lacs+",Nil,Nil,Nil,Nil, 380000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"18,97,598  18 Lacs+","3,34,000  3 Lacs+",Nil,Nil,Nil,Nil, 2231598
xi,Totals (Calculated as Sum of Values),"Rs 18,97,598
18 Lacs+","Rs 3,34,000
3 Lacs+",Nil,Nil,Nil,Nil, 2231598
