SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"61,56,015  61 Lacs+","90,874  90 Thou+",Nil,"1,50,200  1 Lacs+","65,000  65 Thou+",Nil, 6462089
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank Parola
17,43,057  17 Lacs+

State Bank
17,02,000  17 Lacs+

Central Bank
1,600  1 Thou+

Central Bank
1,300  1 Thou+

JDCC Bank
2,37,521  2 Lacs+

JDCC Bank
83,637  83 Thou+

Bank Of Maharashtra
7,74,381  7 Lacs+

State Bank
28,611  28 Thou+","JDCC Bank
31,021  31 Thou+

JDCC
1,04,423  1 Lacs+

SBI
24,85,966  24 Lacs+

Suvarna Siddhi Pvt Ltd 0065143
39,000  39 Thou+

Parola Taluka Parola
49,155  49 Thou+",Nil,"JDCC
6,484  6 Thou+

JDCC
2,07,246  2 Lacs+

State Bank Parola
5,528  5 Thou+

SBI Parola
2,000  2 Thou+

ICICI Bank
5,049  5 Thou+

HDFC Bank
0*(Value Not Given)  

SBI
11,80,118  11 Lacs+

ICICI
25,57,000  25 Lacs+

ICICI
35,57,000  35 Lacs+

ICICI
12,00,000  12 Lacs+","JDCC Bank
3,96,709  3 Lacs+

HDFC Bank
5,090  5 Thou+",Nil, 16403896
iii,"Bonds, Debentures and Shares in companies","3I Infotech Shares 31000
66,650  66 Thou+

Uban Off Shore Ltd 150
4,320  4 Thou+

Ashima Ltd 5000
44,000  44 Thou+

Bajaj Hindustan 1000
6,900  6 Thou+

Bella Stay All 5750
0*(Value Not Given)  

Bharat Heavy Electricals Ltd 1835
95,145  95 Thou+

DCM Ltd 490
10,845  10 Thou+

DCM Novel 410
12,649  12 Thou+

Dhampur Sugar Mills 900
23,035  23 Thou+

Future Enterprises 1500
31,950  31 Thou+

Future Retail 500
1,95,225  1 Lacs+

GMR Infrastructure 20500
3,48,500  3 Lacs+

GTL Infrastructure 5000
3,150  3 Thou+

IDFC First Bank Ltd 900
39,240  39 Thou+

IDFC Shares 2900
1,12,085  1 Lacs+

IFCI Shares 500
3,670  3 Thou+

IL & LS Transportation 1000
2,750  2 Thou+

ITD Cement Station India 500
24,900  24 Thou+

IVRCL 500
195  1 Hund+

Jaypee Infratek 2500
3,100  3 Thou+

JSW PNCPS 200
484  4 Hund+

KCP Sugar And Industries Corporation Ltd 2000
26,200  26 Thou+

Cropan Lid 600
18,150  18 Thou+

Quality Ltd 2000
3,040  3 Thou+

Larsen & Tubro Shares 50
74,510  74 Thou+

Max Ventors And Industries 2550
1,11,180  1 Lacs+

MIC Electronics 1000
600  6 Hund+

Nagarjuna Fertilizer 660
2,468  2 Thou+

Nagarjuna Oil Reifinery 600
138  1 Hund+

NBCC India 500
19,025  19 Thou+

NHPC 4000
91,800  91 Thou+

Orikon Enterprises 1000
21,800  21 Thou+

Prakash Industries 100
4,875  4 Thou+

Prakash Pipes 12
861  8 Hund+

Rama Steel Tubes 500
30,575  30 Thou+

Rattnindiya 7000
10,991  10 Thou+

Reliance Communication Ltd 2775
2,081  2 Thou+

Reliance Home Finance 300
1,266  1 Thou+

Reliance Industries Ltd 540
7,00,164  7 Lacs+

Reliance Naval And Engineering 1500
1,830  1 Thou+

Sharon Bio Medicine 800
2,568  2 Thou+

State Bank Of India 200
56,380  56 Thou+

Suzlon Energy 12700
35,687  35 Thou+

Udaipur Cement 1000
12,840  12 Thou+

Unitek Ltd 500
320  3 Hund+

VIP Clothing 500
5,285  5 Thou+

Vodafone Idea 7000
0  

Waterbase Ltd 700
82,600  82 Thou+

Vaslespun India 1500
81,150  81 Thou+

Infotak RS 10 25000
52,250  52 Thou+

Elecon Engique 3000
1,09,200  1 Lacs+

RCIC Bank 500
2,24,575  2 Lacs+

Shalbi Ltd 1000
88,600  88 Thou+

Tek Solutions 1000
1,07,100  1 Lacs+

Tata Motors ADVR 500
27,325  27 Thou+","Aditya Birla Capital 140
12,663  12 Thou+

Asam Company India 1000
600  6 Hund+

Bella Station AL 20000
0*(Value Not Given)  

Kals Refiniries 10000
1,000  1 Thou+

DCW Ltd 2000
35,700  35 Thou+

Future Consumer 900
26,190  26 Thou+

Future Retails 200
78,090  78 Thou+

IDFC First Bank Ltd 50
2,180  2 Thou+

IDFC Shares 50
1,933  1 Thou+

IFCI 300
2,202  2 Thou+

KCP Sugar And Industries 2000
26,200  26 Thou+

Larsen & Tubro 100
1,49,020  1 Lacs+

MIC Electronics Ltd 781
469  4 Hund+

NHPC 5700
1,30,818  1 Lacs+

PUNJ Shares 200
244  2 Hund+

National Chemical And Fertilizer 925
47,961  47 Thou+

Reliance Broadcast 50
3,455  3 Thou+

Reliance Capital 200
5,870  5 Thou+

Reliance Home Finance 400
1,688  1 Thou+

Suzlon Energy 500
1,405  1 Thou+

Tek Solutions 545
58,370  58 Thou+

Tata Power Co 500
31,850  31 Thou+

Unitek 50
32",Nil,"Bella Station 1000
0*(Value Not Given)  

Network 18 Media & Invest Ltd 271
6,084  6 Thou+

Reliance Industries 56
72,610  72 Thou+",Nil,Nil, 3732861
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,"United India Insurance Co
5,00,000  5 Lacs+

LIC
10,00,000  10 Lacs+",Nil,Nil,"Rs 15,00,000
15 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,"Om Namah Shiva Jining & Pressing
60,00,000  60 Lacs+",Nil,Nil, 6000000
vi,"Motor Vehicles (details of make, etc.)","Innova Toyota
27,00,000  27 Lacs+","Vinto
3,00,000  3 Lacs+",Nil,"Activa Honda
40,000  40 Thou+","Hyundai I-20
6,00,000  6 Lacs+",Nil, 3640000
vii,Jewellery (give details weight value),"100 Gram
3,80,000  3 Lacs+","500 Gram
19,00,000  19 Lacs+",Nil,"200 Gram
7,60,000  7 Lacs+","400 Gram
15,20,000  15 Lacs+",Nil, 4560000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,68,80,888  1 Crore+","56,18,376  56 Lacs+",Nil,"2,40,89,119  2 Crore+","25,86,799  25 Lacs+",Nil, 49175182
