SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"66,484  66 Thou+","5,089  5 Thou+",Nil,Nil,Nil,Nil, 71573
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","44,53,241  44 Lacs+","63,90,518  63 Lacs+",Nil,Nil,Nil,Nil, 10843759
iii,"Bonds, Debentures and Shares in companies","44,53,241  44 Lacs+","63,90,518  63 Lacs+",Nil,Nil,Nil,Nil, 10843759
iv,"(a)
NSS, Postal Savings etc","11,36,884  11 Lacs+","7,13,008  7 Lacs+",Nil,Nil,Nil,Nil, 1849892
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"2,55,644  2 Lacs+","76,77,449  76 Lacs+",Nil,Nil,Nil,Nil, 7933093
vi,"Motor Vehicles (details of make, etc.)","18,73,039  18 Lacs+","26,08,406  26 Lacs+",Nil,Nil,Nil,Nil, 4481445
vii,Jewellery (give details weight value),"30,000  30 Thou+","26,76,012  26 Lacs+",Nil,Nil,Nil,Nil, 2706012
viii,"Other assets, such as values of claims / interests","6,60,000  6 Lacs+",Nil,Nil,Nil,Nil,Nil, 660000
x,Gross Total Value (as per Affidavit),"84,75,501  84 Lacs+","1,77,68,519  1 Crore+",Nil,Nil,Nil,Nil, 26244020
xi,Totals (Calculated as Sum of Values),"Rs 1,29,28,533
1 Crore+","Rs 2,64,61,000
2 Crore+",Nil,Nil,Nil,Nil, 39389533
