SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"50,000  50 Thou+","10,000  10 Thou+",Nil,Nil,Nil,Nil, 60000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","STATE BANK OF INDIA
5,64,098  5 Lacs+

BULDHANA DISTRICT
1,42,407  1 Lacs+

BULDHANA BANK BRANCH
9,960  9 Thou+

STATE BANK OF INDIA
6,02,480  6 Lacs+

MAHARASHTRA STATE BANK
1,542  1 Thou+

CENTERAL BANK OF INDIA
1,36,391  1 Lacs+

CENTERAL BANK OF INDIA BRANCH
5,71,574  5 Lacs+

allahabad BANK
9,748  9 Thou+

allahabad BANK
5,000  5 Thou+

JIJAMATHA MAHILA BANK
1,28,890  1 Lacs+

BULDHANA DISTRICT
5,00,000  5 Lacs+","allahabad BANK BRANCH BULDHANA
945  9 Hund+",Nil,Nil,Nil,Nil, 2673035
iii,"Bonds, Debentures and Shares in companies","BULDHANA KADIL SHARES
1,00,000  1 Lacs+

BULDHANA BRANCH BULDHANA SHARES
3,37,500  3 Lacs+

SUGER MILES SHARES
3,00,000  3 Lacs+

MAHABIJ AKOLA SHARES
2,000  2 Thou+

STATE BANK OF INDIA
20,000  20 Thou+",Nil,Nil,Nil,Nil,Nil, 759500
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,"BHARATI JIVAN INSURATION POLICY
8,00,000  8 Lacs+",Nil,Nil, 800000
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"PRIVATE LOANS
1,09,00,000  1 Crore+",Nil,Nil,Nil,Nil,Nil, 10900000
vi,"Motor Vehicles (details of make, etc.)","RENILOARD DUSTER
11,00,000  11 Lacs+

HONDA COMP
65,000  65 Thou+",Nil,Nil,Nil,Nil,Nil, 1165000
vii,Jewellery (give details weight value),"Gold 8 Tola
3,00,000  3 Lacs+","Gold 12 Tola
4,50,000  4 Lacs+",Nil,Nil,Nil,Nil, 750000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,55,46,590  1 Crore+","4,60,945  4 Lacs+",Nil,"8,00,000  8 Lacs+",Nil,Nil, 16807535
xi,Totals (Calculated as Sum of Values),"Rs 1,58,46,590
1 Crore+","Rs 4,60,945
4 Lacs+",Nil,"Rs 8,00,000
8 Lacs+",Nil,Nil, 17107535
