SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"40,000  40 Thou+","35,000  35 Thou+",Nil,"15,000  15 Thou+",Nil,Nil, 90000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Royal Twinkle Star Pvt. LTd.
20,000  20 Thou+

Royal Twinkle star pvt.LTd
30,000  30 Thou+

state Bank of India
62,500  62 Thou+

state Bank of India
3,83,359  3 Lacs+

Bank of maharashtra
4,180  4 Thou+

Raigad jilla sahkari Bank
7,290  7 Thou+

shivai nagari sahkari
15,182  15 Thou+

shivsi nagari Shahkari
100  1 Hund+

shivsi nagari Shahkari
100  1 Hund+

Bank of India
31,144  31 Thou+","Bank of maharashtra
48,560  48 Thou+

saarswat co-op Bank
2,50,895  2 Lacs+

oscar shakha
25,000  25 Thou+

sitrus check in shakha
1,00,100  1 Lacs+

Royal twinkle star
30,000  30 Thou+

Bank of India
100  1 Hund+

Bank of India
908  9 Hund+

Bank of Maharashtra
48,500  48 Thou+

Bank of India
12,800  12 Thou+

Anaasaheb co-op Bank Mahad Ltd
2,581  2 Thou+

Anaasaheb co-op Bank Mahad Ltd
4,01,000  4 Lacs+

shivai nagar sahkari patsanstha
100  1 Hund+

shivai nagar sahkari patsanstha
26,021  26 Thou+

shivai nagar sahkari patsanstha
658  6 Hund+

Bank of India
11,500  11 Thou+",Nil,"Bank of India
6,212  6 Thou+

Bank of India
12,568  12 Thou+

State Bank Of India
4,970  4 Thou+

H.D.F.C
3,581  3 Thou+

H.D.F.C Bank
6,554  6 Thou+",Nil,Nil, 1546463
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,"Kisan cvikas patra post office Birvadi Talu-mahad
1,00,000  1 Lacs+

Post office saving account birvadi
470  4 Hund+",Nil,Nil,Nil,Nil, 100470
"(b)
LIC or other insurance Policies","Life insurance policy
1,01,583  1 Lacs+

policy No.922938806
6,378  6 Thou+

policie No.9229388067
15,880  15 Thou+

policie No.923942327
3,141  3 Thou+

State Bank of India Life Insurance
49,998  49 Thou+

Max Life Insurance policie No.788075786
50,000  50 Thou+

Max Life INsurance policie No.779714401
50,000  50 Thou+

Max life Insurance Policie No.831313697
43,600  43 Thou+

S.B.I Life Insurance Policie No.350455654
43,700  43 Thou+

S.B.I Life Insurance Policie No.1k39370760
1,00,000  1 Lacs+","LIC Br.Mahad, Policy No.920684455
3,153  3 Thou+

LIC Policy No.922803133
32,407  32 Thou+

LIC Policy no.926590789
18,015  18 Thou+

LIC Policy No.925333951
60,000  60 Thou+

Max Life Insurance Policy No.788327856
50,000  50 Thou+

Max Life Insurance Policy No.788079507
50,000  50 Thou+

Annasaheb Sawant Co.Op bank
6,40,000  6 Lacs+

Bank of Maharashtra Br.Mahad
4,60,000  4 Lacs+

Bank of Maharashtra, Br.Mahad
50,000  50 Thou+

Bank of Baroda, Br.Mahad
1,25,000  1 Lacs+

State Bank of India, Br.MIDC Mahad
1,00,000  1 Lacs+",Nil,"L.I.C 91H Mahad Policy No.926334972
20,405  20 Thou+

police No.923972327
3,149  3 Thou+

India first Life insurance co-op police no. 70943121
2,50,000  2 Lacs+",Nil,Nil,"Rs 23,26,409
23 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,"TATA company bus 40 seats MH 06 S 9093
14,85,420  14 Lacs+

TATA company BUs 24 seats MH 06 S 9039
11,72,192  11 Lacs+

TATA sumo MH 06 BP 87
6,65,000  6 Lacs+

TATA acser MH-06-BW-5457
17,49,090  17 Lacs+

Innova T- permit MH-06-BW-1990
17,84,800  17 Lacs+",Nil,Nil,Nil,Nil, 6856502
vii,Jewellery (give details weight value),"150 gram
5,25,000  5 Lacs+","250 gram
8,75,000  8 Lacs+",Nil,"100 gram
3,50,000  3 Lacs+",Nil,Nil, 1750000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"15,83,143  15 Lacs+","1,04,14,277  1 Crore+",Nil,"6,72,439  6 Lacs+",Nil,Nil, 12669859
xi,Totals (Calculated as Sum of Values),"Rs 15,83,135
15 Lacs+","Rs 1,04,14,270
1 Crore+",Nil,"Rs 6,72,439
6 Lacs+",Nil,Nil, 12669844
