SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,00,000  1 Lacs+","20,000  20 Thou+",Nil,"15,000  15 Thou+","10,000  10 Thou+","10,000  10 Thou+", 155000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","UBI
10,27,000  10 Lacs+

Maharashtra Bank
45,000  45 Thou+

Maharashtra Bank Current A/c
45,000  45 Thou+

HDFC BANK
20,000  20 Thou+","Maharashtra Bank
15,000  15 Thou+",Nil,"BOB
5,000  5 Thou+

MAHARASHTRA BANK
2,80,000  2 Lacs+

KOTAK MAHENDRA BANK
12,000  12 Thou+

HDFC
20,000  20 Thou+","MAHARASHTRA BANK
20,000  20 Thou+

MAHARASHTRA BANK FD
75,000  75 Thou+

MAHARASHTRA BANK FD
12,000  12 Thou+","MAHARASHTRA BANK FD
25,000  25 Thou+

HDFC
5,00,000  5 Lacs+", 2101000
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","INNOVA,MH-46-BM3201
22,00,000  22 Lacs+

HYUNDAI VERNA,MH-46-BF3201
16,00,000  16 Lacs+

SUZUKI ASESS
80,000  80 Thou+

HONDA ACTIVA
20,000  20 Thou+",Nil,Nil,Nil,Nil,Nil, 3900000
vii,Jewellery (give details weight value),"Gold 20gm
70,000  70 Thou+","Gold 300gm
10,50,000  10 Lacs+",Nil,"Gold 10gm
35,000  35 Thou+","Gold 10gm
35,000  35 Thou+","Gold 10gm
35,000  35 Thou+", 1225000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),0,0,Nil,0,0,0, 0
xi,Totals (Calculated as Sum of Values),"Rs 52,07,000
52 Lacs+","Rs 10,85,000
10 Lacs+",Nil,"Rs 3,67,000
3 Lacs+","Rs 1,52,000
1 Lacs+","Rs 5,70,000
5 Lacs+", 7381000
