SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"92,550  92 Thou+","48,300  48 Thou+",Nil,Nil,Nil,Nil, 140850
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","H.D.F.C.Ban F.D.R.
3,35,716.40  3 Lacs+

State Bank Of india Pen saving Account
70,575  70 Thou+

Patneshwar Arban Bank Pen-Saving Account
854  8 Hund+

H.D.F.C.Bank Pen Saving Account
7,000  7 Thou+

Bank of Baroda Pune
1,64,527  1 Lacs+","State Bank Of India Pen F.D.R.
11,00,000  11 Lacs+

Patneshwar Arban Bank F.D.R.
38,78,350  38 Lacs+

State Bank Of india Pen Saving Account
30,919  30 Thou+

Post Account Pen
670  6 Hund+

Patneshwar Arban Bank Saving Account
962  9 Hund+",Nil,Nil,Nil,Nil, 5589573.40
iii,"Bonds, Debentures and Shares in companies","Patneshwar Arban Bank-Pen -Shares
10,000  10 Thou+","Patneswhar Arban Bank- Pen Shares
38,000  38 Thou+",Nil,Nil,Nil,Nil, 48000
iv,"(a)
NSS, Postal Savings etc",Nil,"Post Account-Pen
11,50,000  11 Lacs+",Nil,Nil,Nil,Nil, 1150000
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","M H 06 BU 456 Enova Crista Year-2018
23,00,000  23 Lacs+",Nil,Nil,Nil,Nil,Nil, 2300000
vii,Jewellery (give details weight value),"25 Tola Gold
7,50,000  7 Lacs+","65 Tola Gold
18,60,000  18 Lacs+",Nil,Nil,Nil,Nil, 2610000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"36,38,672  36 Lacs+","80,58,901  80 Lacs+",Nil,Nil,Nil,Nil, 11697573
xi,Totals (Calculated as Sum of Values),"Rs 37,31,222.40
37 Lacs+","Rs 81,07,201
81 Lacs+",Nil,Nil,Nil,Nil, 11838423.40
