SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"3,58,080  3 Lacs+","4,90,724  4 Lacs+",Nil,"3,22,866  3 Lacs+","1,00,300  1 Lacs+","11,315  11 Thou+", 1283285
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","57,620  57 Thou+","27,426  27 Thou+",Nil,"8,034  8 Thou+","12,200  12 Thou+","1,89,575  1 Lacs+", 294855
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
26,24,000  26 Lacs+",Nil,Nil,"LIC
14,30,897  14 Lacs+",Nil,Nil,"Rs 40,54,897
40 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Fortuner MH20CY7777
25,40,184  25 Lacs+

MH02WW234
4,00,000  4 Lacs+","Honda City MH20EW707
18,00,500  18 Lacs+",Nil,Nil,Nil,"Activa 2011
35,300  35 Thou+

Suzuki 2016
55,450  55 Thou+", 4831434
vii,Jewellery (give details weight value),"24.20 Tola Gold
8,47,000  8 Lacs+","24.22 Tola Gold
1,54,700  1 Lacs+",Nil,"10.50 Tola Gold
3,67,500  3 Lacs+","2.3 Tola Gold
80,500  80 Thou+","5.8 Tola Gold
2,03,950  2 Lacs+", 1653650
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"68,26,864  68 Lacs+","24,73,400  24 Lacs+",Nil,"21,29,297  21 Lacs+","1,93,000  1 Lacs+","4,95,590  4 Lacs+", 12118151
xi,Totals (Calculated as Sum of Values),"Rs 68,26,884
68 Lacs+","Rs 24,73,350
24 Lacs+",Nil,"Rs 21,29,297
21 Lacs+","Rs 1,93,000
1 Lacs+","Rs 4,95,590
4 Lacs+", 12118121
