SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"8,45,000  8 Lacs+","12,45,000  12 Lacs+",Nil,Nil,Nil,Nil, 2090000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
6,23,862  6 Lacs+

Bank of Baroda
1,019  1 Thou+

Central Bank
1,980  1 Thou+

Maharashtra Gramin Bank
1,162  1 Thou+

Nanded Marchent bank
8,621  8 Thou+","Central Bank of india
7,256  7 Thou+",Nil,Nil,Nil,Nil, 643900
iii,"Bonds, Debentures and Shares in companies","Giant Medical & Diagnostic Pvt. Ltd
16,50,000  16 Lacs+","Giant Medical & Diagnostic Pvt. Ltd
17,09,605  17 Lacs+",Nil,Nil,Nil,Nil, 3359605
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
13,44,401  13 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 13,44,401
13 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Duster MH26AK0925, year- 2013
11,47,500  11 Lacs+

Safari, MH26BC0925, year- 2017
15,70,000  15 Lacs+",Nil,Nil,Nil,Nil,Nil, 2717500
vii,Jewellery (give details weight value),"30 GM Gold
1,05,000  1 Lacs+","120 GM Gold
4,20,000  4 Lacs+

100 GM Silver
47,000  47 Thou+",Nil,Nil,Nil,Nil, 572000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"72,98,545  72 Lacs+","34,28,861  34 Lacs+",Nil,Nil,Nil,Nil, 10727406
xi,Totals (Calculated as Sum of Values),"Rs 72,98,545
72 Lacs+","Rs 34,28,861
34 Lacs+",Nil,Nil,Nil,Nil, 10727406
