SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"51,000  51 Thou+","25,000  25 Thou+",Nil,Nil,Nil,Nil, 76000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","S J M Bank
3,02,305  3 Lacs+

B S Bank
1,41,150  1 Lacs+

S J M Bank
1,98,053  1 Lacs+

S J M Bank
1,58,397  1 Lacs+

BOM
4,695  4 Thou+

B S Bank
5,22,197  5 Lacs+

B S Bank
400  4 Hund+

Bharti Sah Bank
48,583  48 Thou+

Dhairyashil Patsanstha
6,06,001  6 Lacs+

S G M Bank
67,870  67 Thou+","B S Bank
1,37,284  1 Lacs+

B S Bank
1,64,232  1 Lacs+

B S Bank
2,71,168  2 Lacs+

HDFC Bank
55,187  55 Thou+

B S Bank
1,00,774  1 Lacs+

Dhairyashil Savant
5,71,971  5 Lacs+",Nil,Nil,Nil,Nil, 3350267
iii,"Bonds, Debentures and Shares in companies","Shri Dhanamma Devi Sugar And Power Shares
50,72,000  50 Lacs+

Vishvaj Energy Pvt Ltd
8,500  8 Thou+

Shri Safari Hotels And Resource
50  

S S S Suslad
3,600  3 Thou+

Dhairyashil Patsanstha
100  1 Hund+

Siddhivinayak Patsanstha
200  2 Hund+

Datt Nagari Patsanstha
100  1 Hund+","Dhairyashil Patsanstha
100  1 Hund+

Siddhivinayak Patsanstha
200  2 Hund+

Datt Nagari Patsanstha
100  1 Hund+

Bharti Bank
1,000  1 Thou+",Nil,Nil,Nil,Nil, 5085950
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
1,00,000  1 Lacs+

LIC
50,000  50 Thou+

LIC
28,000  28 Thou+

LIC
50,000  50 Thou+

LIC
2,00,000  2 Lacs+

LIC
1,00,000  1 Lacs+

Tata LIC
3,26,000  3 Lacs+

Max Life LIC
1,11,569  1 Lacs+

Bajaj Allianz
1,00,000  1 Lacs+","LIC
10,000  10 Thou+

LIC
25,000  25 Thou+

HDFC
5,00,000  5 Lacs+

Bajaj Allianz
1,00,000  1 Lacs+",Nil,"Kotak Policy
5,96,253  5 Lacs+","Kotak Policy
6,15,580  6 Lacs+",Nil,"Rs 29,12,402
29 Lacs+",0
v,Personal loans/advance given,"Shri Dhanamma Devi Sugar And Power
30,00,000  30 Lacs+",Nil,Nil,Nil,Nil,Nil, 3000000
vi,"Motor Vehicles (details of make, etc.)","Maruti Swift
10,25,000  10 Lacs+

Pajero
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil,Nil, 1425000
vii,Jewellery (give details weight value),"Gold 100 Gram
3,90,000  3 Lacs+","250 Gram Gold
9,75,000  9 Lacs+

500 Gram Silver
22,500  22 Thou+",Nil,Nil,Nil,Nil, 1387500
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,30,85,770  1 Crore+","29,59,516  29 Lacs+",Nil,"5,96,253  5 Lacs+","6,15,580  6 Lacs+",Nil, 17257119
xi,Totals (Calculated as Sum of Values),"Rs 1,30,65,770
1 Crore+","Rs 29,59,516
29 Lacs+",Nil,"Rs 5,96,253
5 Lacs+","Rs 6,15,580
6 Lacs+",Nil, 17237119
